Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P35527	CON__P35527	28	28	27		1	28	28	27	59.7	59.7	58.6	62.129	623	623	0	281.48	244590000	62			+	18	663;735;996;1306;1470;1488;1489;1490;1551;1809;1837;1910;1911;1981;2070;2423;2651;2761;2783;2789;2813;2935;3082;3279;3523;3528;3942;4079	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	669;743;1008;1324;1489;1507;1508;1509;1570;1833;1861;1934;1935;2008;2097;2474;2707;2817;2839;2845;2869;2992;2993;3142;3342;3589;3594;4013;4151;4152	817;906;1239;1633;1839;1865;1866;1867;1936;2257;2288;2377;2378;2468;2583;3027;3321;3452;3453;3483;3489;3520;3664;3665;3851;4116;4423;4428;4935;4936;5101;5102	1499;1500;1669;2395;3122;3123;3541;3542;3543;3544;3545;3546;3601;3602;3603;3604;3605;3606;3607;3608;3707;3708;4360;4361;4411;4412;4586;4587;4588;4589;4590;4591;4767;4986;5759;5760;6292;6293;6294;6527;6528;6586;6587;6594;6659;6916;6917;6918;7301;7302;7303;7803;7804;8408;8409;8418;8419;9402;9403;9710;9711;9712	1499;1669;2395;3122;3542;3602;3606;3608;3708;4360;4412;4587;4588;4767;4986;5760;6292;6527;6587;6594;6659;6916;7302;7804;8409;8418;9403;9710	6;7;8;9;10	157;245;269;326;411
CON__P35908;CON__P07744;CON__Q6NXH9;CON__Q01546;CON__Q9R0H5;CON__Q7RTS7;CON__Q5XKE5;CON__Q32MB2;CON__Q6IFZ6;CON__Q7Z794;CON__P19013;CON__REFSEQ:XP_932229;CON__Q9DCV7;CON__Q3KNV1;CON__P08729;CON__P05787;CON__Q9H552;CON__Q14CN4-1;CON__Q6IME9;CON__Q8N1N4-2;CON__Q7RTT2;CON__Q3SY84;CON__Q8VED5;CON__Q9NSB2;CON__Q6ISB0	CON__P35908	17;3;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1	15;3;2;3;1;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1	10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0		25	17	15	10	30.2	27.1	19.5	65.865	645	645;525;539;638;524;529;535;540;572;578;594;345;457;469;469;483;499;511;520;521;521;523;531;600;600	0	139.97	65608000	19			+	19	376;789;1248;1283;1450;1487;1491;1644;1790;2057;2185;2645;3002;3145;3291;3769;4100	True;True;True;False;True;True;True;True;False;True;True;True;True;True;True;True;True	380;797;1265;1301;1469;1506;1510;1664;1813;2084;2214;2700;3060;3207;3354;3840;4173	456;977;1563;1607;1608;1813;1864;1868;2050;2232;2568;2717;3313;3749;3944;4129;4734;5141	824;1812;1813;3015;3016;3085;3086;3087;3088;3472;3600;3609;3947;4319;4960;5226;5227;6280;6281;7102;7471;7830;9029;9801	824;1812;3015;3085;3472;3600;3609;3947;4319;4960;5227;6280;7102;7471;7830;9029;9801	11	300
CON__P81644	CON__P81644	1	1	1		1	1	1	1	10	10	10	11.202	100	100	0	7.6025	558780	2			+	20	3606	True	3674	4533	8670;8671	8670		
CON__Q03247	CON__Q03247	1	1	1		1	1	1	1	3.5	3.5	3.5	35.979	316	316	0	6.7871	307690	1			+	21	1269	True	1286	1590	3062	3062		
CON__Q2UVX4	CON__Q2UVX4	1	1	1		1	1	1	1	1.2	1.2	1.2	187.37	1662	1662	0	42.704	416730000	11			+	22	919	True	930	1149;1150;1151	2198;2199;2200;2201;2202;2203;2204;2205;2206;2207;2208	2199		
CON__Q3SX09;CON__P02070	CON__Q3SX09;CON__P02070	4;2	4;2	4;2	;	2	4	4	4	20.9	20.9	20.9	22.06	201	201;145	0	25.274	3425300	4			+	23	76;2212;3762;4043	True;True;True;True	77;2242;3833;4115	97;2745;4727;5062	179;5268;9019;9651	179;5268;9019;9651		
CON__Q3SZR3	CON__Q3SZR3	2	2	2		1	2	2	2	10.4	10.4	10.4	23.182	202	202	0	16.357	39412000	2			+	24	235;4063	True;True	239;4135	292;5085	537;9683	537;9683		
CON__Q3ZBS7	CON__Q3ZBS7	1	1	1		1	1	1	1	2.5	2.5	2.5	54.099	484	484	0	6.2313	299620	1			+	25	1300	True	1318	1627	3115	3115		
CON__Q86YZ3	CON__Q86YZ3	4	4	4		1	4	4	4	4.6	4.6	4.6	282.39	2850	2850	0	26.956	1618200	7			+	26	1625;2805;2806;4093	True;True;True;True	1645;2861;2862;4166	2027;3510;3511;5123	3896;6633;6634;6635;9749;9750;9751	3896;6633;6635;9751		
REV__CON__Q99PS0	REV__CON__Q99PS0	1	1	1		1	1	1	1	0	0	0	48.026	422	422	0.0099541	5.6797	133970000	1		+	+	27	3856	True	3927	4839	9238	9238		
REV__TM35_000011830-t36_1-p1	REV__TM35_000011830-t36_1-p1	1	1	1	TM35_000011830-t36_1-p1 | transcript=TM35_000011830-t36_1 | gene=TM35_000011830 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=acetyltransferase | transcript_product=acetyltransferase | location=NBCO01000001:221942-222562(+) | protein_len	1	1	1	1	0	0	0	23.899	206	206	0.0016077	6.0948	23718000	5		+		28	3995	True	4066	4997;4998	9527;9528;9529;9530;9531	9529		
REV__TM35_000025380-t36_1-p1	REV__TM35_000025380-t36_1-p1	1	1	1	TM35_000025380-t36_1-p1 | transcript=TM35_000025380-t36_1 | gene=TM35_000025380 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=trans-sialidase | transcript_product=trans-sialidase | location=NBCO01000002:1109282-1112425(+) | protein_lengt	1	1	1	1	0	0	0	117.24	1047	1047	0.0047431	5.9425	568600	1		+		29	2819	True	2875	3527	6673	6673		
REV__TM35_000052280-t36_1-p1	REV__TM35_000052280-t36_1-p1	1	1	1	TM35_000052280-t36_1-p1 | transcript=TM35_000052280-t36_1 | gene=TM35_000052280 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=calpain cysteine peptidase | transcript_product=calpain cysteine peptidase | location=NBCO01000005:370219-37135	1	1	1	1	0	0	0	44.543	378	378	1	-2	1100600	1	+	+		30	103	True	104	128	234	234	12	336
REV__TM35_000084550-t36_1-p1	REV__TM35_000084550-t36_1-p1	1	1	1	TM35_000084550-t36_1-p1 | transcript=TM35_000084550-t36_1 | gene=TM35_000084550 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=protein kinase | transcript_product=protein kinase | location=NBCO01000008:857360-859222(-) | protein_length=62	1	1	1	1	0	0	0	70.801	620	620	0.0039746	6.0033	834790	4		+		31	1099	True	1113	1376	2669;2670;2671;2672	2669		
REV__TM35_000111860-t36_1-p1	REV__TM35_000111860-t36_1-p1	1	1	1	TM35_000111860-t36_1-p1 | transcript=TM35_000111860-t36_1 | gene=TM35_000111860 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000011:200015-202069(+) | prote	1	1	1	1	0	0	0	76.989	684	684	0.0093095	5.7495	4052500	2		+		32	2068	True	2095	2580	4981;4982	4981		
REV__TM35_000123240-t36_1-p1	REV__TM35_000123240-t36_1-p1	1	1	1	TM35_000123240-t36_1-p1 | transcript=TM35_000123240-t36_1 | gene=TM35_000123240 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000012:543935-545194(-) | prote	1	1	1	1	0	0	0	46.94	419	419	0.0031974	6.0449	1343900	1		+		33	3960	True	4031	4957	9443	9443		
REV__TM35_000131570-t36_1-p1	REV__TM35_000131570-t36_1-p1	1	1	1	TM35_000131570-t36_1-p1 | transcript=TM35_000131570-t36_1 | gene=TM35_000131570 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000013:141199-143493(-) | prote	1	1	1	1	0	0	0	81.928	764	764	0.0085803	5.8103	21470000	2		+		34	618	True	623	759	1387;1388	1388		
REV__TM35_000162560-t36_1-p1	REV__TM35_000162560-t36_1-p1	1	1	1	TM35_000162560-t36_1-p1 | transcript=TM35_000162560-t36_1 | gene=TM35_000162560 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative MYH7B protein | transcript_product=putative MYH7B protein | location=NBCO01000016:398528-399865(-) | p	1	1	1	1	0	0	0	52.246	446	446	0.00081301	6.2048	1429300	1		+		35	2051	True	2078	2558	4947	4947		
REV__TM35_000162990-t36_1-p1	REV__TM35_000162990-t36_1-p1	1	1	1	TM35_000162990-t36_1-p1 | transcript=TM35_000162990-t36_1 | gene=TM35_000162990 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative casein kinase II, alpha chain | transcript_product=putative casein kinase II, alpha chain | location=N	1	1	1	1	0	0	0	101.83	910	910	0.0024077	6.0713	4114900	2		+		36	1226	True	1242	1537	2975;2976	2976		
REV__TM35_000181950-t36_1-p1	REV__TM35_000181950-t36_1-p1	1	1	1	TM35_000181950-t36_1-p1 | transcript=TM35_000181950-t36_1 | gene=TM35_000181950 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=protein kinase | transcript_product=protein kinase | location=NBCO01000018:278173-280440(-) | protein_length=75	1	1	1	1	0	0	0	84.979	755	755	0.0055292	5.9299	37405	2		+		37	2779	True	2835	3479	6579;6580	6579		
REV__TM35_000242400-t36_1-p1	REV__TM35_000242400-t36_1-p1	1	1	1	TM35_000242400-t36_1-p1 | transcript=TM35_000242400-t36_1 | gene=TM35_000242400 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=ribosome biogenesis protein BMS1 | transcript_product=ribosome biogenesis protein BMS1 | location=NBCO01000024:	1	1	1	1	0	0	0	142.84	1260	1260	0.0070478	5.8395	2906000	1		+		38	1033	True	1046	1286	2473	2473		
REV__TM35_000431410-t36_1-p1	REV__TM35_000431410-t36_1-p1	1	1	1	TM35_000431410-t36_1-p1 | transcript=TM35_000431410-t36_1 | gene=TM35_000431410 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000043:112791-114254(-) | prote	1	1	1	1	0	0	0	55.351	487	487	0.0078125	5.8243	1581700	1		+		39	3417	True	3482	4286	8130	8130		
REV__TM35_000461520-t36_1-p1	REV__TM35_000461520-t36_1-p1	1	1	1	TM35_000461520-t36_1-p1 | transcript=TM35_000461520-t36_1 | gene=TM35_000461520 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000046:128029-129951(-) | prote	1	1	1	1	0	0	0	72.201	640	640	0.0062745	5.8573	229340	1		+		40	816	True	824	1009	1874	1874		
TM35_000011040-t36_1-p1	TM35_000011040-t36_1-p1	2	2	2	TM35_000011040-t36_1-p1 | transcript=TM35_000011040-t36_1 | gene=TM35_000011040 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:16424-19519(+) | protein	1	2	2	2	2	2	2	114.93	1031	1031	0	10.74	2865300	2				41	2378;2859	True;True	2420;2915	2955;3575	5640;6748	5640;6748		
TM35_000011140-t36_1-p1	TM35_000011140-t36_1-p1	2	2	2	TM35_000011140-t36_1-p1 | transcript=TM35_000011140-t36_1 | gene=TM35_000011140 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=adenylate kinase | transcript_product=adenylate kinase | location=NBCO01000001:37150-37806(+) | protein_length=	1	2	2	2	11	11	11	24.602	218	218	0	15.124	1510400	3				42	1682;3858	True;True	1702;3929	2093;4841	4026;9241;9242	4026;9241		
TM35_000011170-t36_1-p1	TM35_000011170-t36_1-p1	6	6	6	TM35_000011170-t36_1-p1 | transcript=TM35_000011170-t36_1 | gene=TM35_000011170 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative malate dehydrogenase | transcript_product=putative malate dehydrogenase | location=NBCO01000001:41792-	1	6	6	6	26.2	26.2	26.2	33.194	317	317	0	43.751	8647100	8				43	231;250;515;601;2588;3964	True;True;True;True;True;True	234;254;520;606;2642;4035	284;310;619;740;3235;4961	529;566;1129;1353;1354;6147;6148;9448	529;566;1129;1354;6147;9448		
TM35_000011230-t36_1-p1	TM35_000011230-t36_1-p1	6	6	6	TM35_000011230-t36_1-p1 | transcript=TM35_000011230-t36_1 | gene=TM35_000011230 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:57879-58505(+) | protein	1	6	6	6	37.5	37.5	37.5	23.514	208	208	0	86.135	84660000	18				44	660;1062;1703;1914;2477;4090	True;True;True;True;True;True	666;1076;1723;1939;2528;4163	813;814;1328;1329;1330;1331;2116;2383;3099;3100;5119	1491;1492;1493;1494;1495;2567;2568;2569;2570;2571;2572;4075;4076;4599;4600;5901;5902;9742	1491;2568;4075;4600;5901;9742		
TM35_000011270-t36_1-p1	TM35_000011270-t36_1-p1	5	5	5	TM35_000011270-t36_1-p1 | transcript=TM35_000011270-t36_1 | gene=TM35_000011270 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:69096-70175(+) | protein	1	5	5	5	18.1	18.1	18.1	40.685	359	359	0	35.395	2093200	5				45	2217;2460;3689;3920;4114	True;True;True;True;True	2247;2511;3760;3991;4187	2751;3081;4639;4909;5155	5275;5872;8875;9366;9821	5275;5872;8875;9366;9821		
TM35_000011310-t36_1-p1	TM35_000011310-t36_1-p1	1	1	1	TM35_000011310-t36_1-p1 | transcript=TM35_000011310-t36_1 | gene=TM35_000011310 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative WD40 repeat protein | transcript_product=putative WD40 repeat protein | location=NBCO01000001:76465-78	1	1	1	1	2.2	2.2	2.2	74.724	686	686	0	7.7216	558170	2				46	1439	True	1458	1799	3445;3446	3445		
TM35_000011490-t36_1-p1	TM35_000011490-t36_1-p1	6	6	6	TM35_000011490-t36_1-p1 | transcript=TM35_000011490-t36_1 | gene=TM35_000011490 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=enolase | transcript_product=enolase | location=NBCO01000001:130557-131846(+) | protein_length=429 | sequence_S	1	6	6	6	20	20	20	46.277	429	429	0	76.072	18693000	8				47	82;359;614;1894;2249;3074	True;True;True;True;True;True	83;363;619;1918;2280;3134	105;434;755;2358;2789;3841;3842	188;779;1381;4548;4549;5337;7281;7282	188;779;1381;4549;5337;7282		
TM35_000011540-t36_1-p1	TM35_000011540-t36_1-p1	5	5	5	TM35_000011540-t36_1-p1 | transcript=TM35_000011540-t36_1 | gene=TM35_000011540 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:146669-148489(+) | prote	1	5	5	5	12.4	12.4	12.4	65.609	606	606	0	33.305	4263700	5				48	1148;2305;2664;2665;3837	True;True;True;True;True	1163;2336;2720;2721;3908	1432;2849;3337;3338;4813	2779;5450;6323;6324;9176	2779;5450;6323;6324;9176		
TM35_000011640-t36_1-p1	TM35_000011640-t36_1-p1	2	2	2	TM35_000011640-t36_1-p1 | transcript=TM35_000011640-t36_1 | gene=TM35_000011640 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:174531-178913(+) | prote	1	2	2	2	1.9	1.9	1.9	162.1	1460	1460	0	17.231	1129000	2				49	372;3713	True;True	376;3784	452;4671	819;8921	819;8921		
TM35_000011880-t36_1-p1	TM35_000011880-t36_1-p1	1	1	1	TM35_000011880-t36_1-p1 | transcript=TM35_000011880-t36_1 | gene=TM35_000011880 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=delta-1-pyrroline-5-carboxylate dehydrogenase (mitochondrion) | transcript_product=delta-1-pyrroline-5-carboxyl	1	1	1	1	3	3	3	62.067	561	561	0	8.3173	1730800	1				50	3036	True	3096	3791	7175	7175		
TM35_000011920-t36_1-p1	TM35_000011920-t36_1-p1	1	1	1	TM35_000011920-t36_1-p1 | transcript=TM35_000011920-t36_1 | gene=TM35_000011920 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000001:242412-242876(+) | prote	1	1	1	1	10.4	10.4	10.4	17.745	154	154	0	15.666	340960	3				51	2129	True	2156	2653	5120;5121;5122	5121		
