Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
TM35_000081490	TM35_000081490-t36_1	T. theileri isolate Edinburgh	NBCO01000008:125,204..125,983(+)	hypothetical protein	protein coding	Tth.8.1490	
TM35_000081500	TM35_000081500-t36_1	T. theileri isolate Edinburgh	NBCO01000008:131,748..132,359(+)	hypothetical protein	protein coding	Tth.8.1500	
TM35_000081510	TM35_000081510-t36_1	T. theileri isolate Edinburgh	NBCO01000008:133,404..134,777(+)	hypothetical protein	protein coding	Tth.8.1510	
TM35_000081520	TM35_000081520-t36_1	T. theileri isolate Edinburgh	NBCO01000008:135,445..136,806(+)	hypothetical protein	protein coding	Tth.8.1520	
TM35_000084440	TM35_000084440-t36_1	T. theileri isolate Edinburgh	NBCO01000008:831,997..833,082(-)	hypothetical protein	protein coding	Tth.8.4440	
TM35_000311500	TM35_000311500-t36_1	T. theileri isolate Edinburgh	NBCO01000031:133,497..134,219(-)	hypothetical protein	protein coding	Tth.31.1500	
TM35_000311510	TM35_000311510-t36_1	T. theileri isolate Edinburgh	NBCO01000031:134,900..135,694(-)	hypothetical protein	protein coding	Tth.31.1510	
TM35_000311520	TM35_000311520-t36_1	T. theileri isolate Edinburgh	NBCO01000031:136,367..137,209(-)	hypothetical protein	protein coding	Tth.31.1520	
TM35_000311530	TM35_000311530-t36_1	T. theileri isolate Edinburgh	NBCO01000031:137,957..139,129(-)	hypothetical protein	protein coding	Tth.31.1530	
TM35_000311540	TM35_000311540-t36_1	T. theileri isolate Edinburgh	NBCO01000031:139,976..140,515(-)	hypothetical protein	protein coding	Tth.31.1540	
TM35_000311610	TM35_000311610-t36_1	T. theileri isolate Edinburgh	NBCO01000031:156,961..158,145(-)	hypothetical protein	protein coding	Tth.31.1610	
TM35_000311620	TM35_000311620-t36_1	T. theileri isolate Edinburgh	NBCO01000031:158,861..160,207(-)	hypothetical protein	protein coding	Tth.31.1620	
TM35_000311630	TM35_000311630-t36_1	T. theileri isolate Edinburgh	NBCO01000031:160,871..162,352(-)	hypothetical protein	protein coding	Tth.31.1630	
TM35_000311640	TM35_000311640-t36_1	T. theileri isolate Edinburgh	NBCO01000031:163,738..164,079(-)	hypothetical protein	protein coding	Tth.31.1640	
TM35_000311650	TM35_000311650-t36_1	T. theileri isolate Edinburgh	NBCO01000031:169,728..170,927(-)	hypothetical protein	protein coding	Tth.31.1650	
TM35_000311660	TM35_000311660-t36_1	T. theileri isolate Edinburgh	NBCO01000031:171,629..172,525(-)	hypothetical protein	protein coding	Tth.31.1660	
TM35_000311680	TM35_000311680-t36_1	T. theileri isolate Edinburgh	NBCO01000031:178,754..179,896(-)	hypothetical protein	protein coding	Tth.31.1680	
TM35_000311690	TM35_000311690-t36_1	T. theileri isolate Edinburgh	NBCO01000031:180,951..181,814(-)	hypothetical protein	protein coding	Tth.31.1690	
TM35_000311700	TM35_000311700-t36_1	T. theileri isolate Edinburgh	NBCO01000031:185,155..186,495(-)	hypothetical protein	protein coding	Tth.31.1700	
TM35_000471560	TM35_000471560-t36_1	T. theileri isolate Edinburgh	NBCO01000047:127,498..127,830(-)	hypothetical protein	protein coding	Tth.47.1560	
TM35_000501320	TM35_000501320-t36_1	T. theileri isolate Edinburgh	NBCO01000050:79,842..80,465(-)	hypothetical protein	protein coding	Tth.50.1320	
TM35_000531020	TM35_000531020-t36_1	T. theileri isolate Edinburgh	NBCO01000053:7,600..8,100(+)	hypothetical protein	protein coding	Tth.53.1020	
TM35_000531270	TM35_000531270-t36_1	T. theileri isolate Edinburgh	NBCO01000053:57,885..59,138(+)	hypothetical protein	protein coding	Tth.53.1270	
TM35_000731030	TM35_000731030-t36_1	T. theileri isolate Edinburgh	NBCO01000073:20,074..20,523(-)	hypothetical protein	protein coding	Tth.73.1030	
TM35_000771030	TM35_000771030-t36_1	T. theileri isolate Edinburgh	NBCO01000077:5,728..7,158(-)	hypothetical protein	protein coding	Tth.77.1030	
TM35_000771070	TM35_000771070-t36_1	T. theileri isolate Edinburgh	NBCO01000077:17,509..18,240(-)	hypothetical protein	protein coding	Tth.77.1070	
TM35_000771100	TM35_000771100-t36_1	T. theileri isolate Edinburgh	NBCO01000077:23,030..24,097(-)	hypothetical protein	protein coding	Tth.77.1100	
TM35_000771110	TM35_000771110-t36_1	T. theileri isolate Edinburgh	NBCO01000077:24,790..25,653(-)	hypothetical protein	protein coding	Tth.77.1110	
TM35_000771120	TM35_000771120-t36_1	T. theileri isolate Edinburgh	NBCO01000077:26,353..27,108(-)	hypothetical protein	protein coding	Tth.77.1120	
TM35_000771130	TM35_000771130-t36_1	T. theileri isolate Edinburgh	NBCO01000077:27,804..28,670(-)	hypothetical protein	protein coding	Tth.77.1130	
TM35_000771140	TM35_000771140-t36_1	T. theileri isolate Edinburgh	NBCO01000077:32,760..33,110(-)	hypothetical protein	protein coding	Tth.77.1140	
TM35_000771150	TM35_000771150-t36_1	T. theileri isolate Edinburgh	NBCO01000077:35,908..36,663(-)	hypothetical protein	protein coding	Tth.77.1150	
TM35_000841000	TM35_000841000-t36_1	T. theileri isolate Edinburgh	NBCO01000084:2,952..3,362(-)	hypothetical protein	protein coding	Tth.84.1000	
TM35_000841010	TM35_000841010-t36_1	T. theileri isolate Edinburgh	NBCO01000084:3,414..3,848(-)	hypothetical protein	protein coding	Tth.84.1010	
TM35_000841020	TM35_000841020-t36_1	T. theileri isolate Edinburgh	NBCO01000084:4,534..5,307(-)	hypothetical protein	protein coding	Tth.84.1020	
TM35_000841030	TM35_000841030-t36_1	T. theileri isolate Edinburgh	NBCO01000084:5,985..7,502(-)	hypothetical protein	protein coding	Tth.84.1030	
TM35_000841050	TM35_000841050-t36_1	T. theileri isolate Edinburgh	NBCO01000084:9,689..10,516(-)	hypothetical protein	protein coding	Tth.84.1050	
TM35_000841070	TM35_000841070-t36_1	T. theileri isolate Edinburgh	NBCO01000084:15,704..16,627(-)	hypothetical protein	protein coding	Tth.84.1070	
TM35_000841110	TM35_000841110-t36_1	T. theileri isolate Edinburgh	NBCO01000084:26,746..27,111(-)	hypothetical protein	protein coding	Tth.84.1110	
TM35_000841140	TM35_000841140-t36_1	T. theileri isolate Edinburgh	NBCO01000084:34,070..34,729(-)	hypothetical protein	protein coding	Tth.84.1140	
TM35_000841150	TM35_000841150-t36_1	T. theileri isolate Edinburgh	NBCO01000084:39,881..40,546(-)	hypothetical protein	protein coding	Tth.84.1150	
TM35_001231030	TM35_001231030-t36_1	T. theileri isolate Edinburgh	NBCO01000123:16,515..17,276(+)	hypothetical protein	protein coding	Tth.123.1030	
TM35_001601000	TM35_001601000-t36_1	T. theileri isolate Edinburgh	NBCO01000160:3,561..4,181(+)	hypothetical protein	protein coding	Tth.160.1000	
