Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
TM35_000103050	TM35_000103050-t36_1	T. theileri isolate Edinburgh	NBCO01000010:594,829..595,668(+)	hypothetical protein	protein coding	Tth.10.3050	
TM35_000103060	TM35_000103060-t36_1	T. theileri isolate Edinburgh	NBCO01000010:598,382..599,062(+)	hypothetical protein	protein coding	Tth.10.3060	
TM35_000103080	TM35_000103080-t36_1	T. theileri isolate Edinburgh	NBCO01000010:601,607..602,800(+)	hypothetical protein	protein coding	Tth.10.3080	
TM35_000103100	TM35_000103100-t36_1	T. theileri isolate Edinburgh	NBCO01000010:605,912..606,826(+)	hypothetical protein	protein coding	Tth.10.3100	
TM35_000103110	TM35_000103110-t36_1	T. theileri isolate Edinburgh	NBCO01000010:607,766..608,584(+)	hypothetical protein	protein coding	Tth.10.3110	
TM35_000103140	TM35_000103140-t36_1	T. theileri isolate Edinburgh	NBCO01000010:613,093..613,416(+)	hypothetical protein	protein coding	Tth.10.3140	
TM35_000103150	TM35_000103150-t36_1	T. theileri isolate Edinburgh	NBCO01000010:615,643..616,509(+)	hypothetical protein	protein coding	Tth.10.3150	
TM35_000103160	TM35_000103160-t36_1	T. theileri isolate Edinburgh	NBCO01000010:619,147..620,274(+)	hypothetical protein	protein coding	Tth.10.3160	
TM35_000103170	TM35_000103170-t36_1	T. theileri isolate Edinburgh	NBCO01000010:621,082..621,891(+)	hypothetical protein	protein coding	Tth.10.3170	
TM35_000112990	TM35_000112990-t36_1	T. theileri isolate Edinburgh	NBCO01000011:457,771..458,544(+)	hypothetical protein	protein coding	Tth.11.2990	
TM35_000113000	TM35_000113000-t36_1	T. theileri isolate Edinburgh	NBCO01000011:459,317..460,204(+)	hypothetical protein	protein coding	Tth.11.3000	
TM35_000113020	TM35_000113020-t36_1	T. theileri isolate Edinburgh	NBCO01000011:462,656..463,771(+)	hypothetical protein	protein coding	Tth.11.3020	
TM35_000113030	TM35_000113030-t36_1	T. theileri isolate Edinburgh	NBCO01000011:464,458..465,381(+)	hypothetical protein	protein coding	Tth.11.3030	
TM35_000113050	TM35_000113050-t36_1	T. theileri isolate Edinburgh	NBCO01000011:474,463..475,236(+)	hypothetical protein	protein coding	Tth.11.3050	
TM35_000113060	TM35_000113060-t36_1	T. theileri isolate Edinburgh	NBCO01000011:479,645..481,063(+)	hypothetical protein	protein coding	Tth.11.3060	
TM35_000151060	TM35_000151060-t36_1	T. theileri isolate Edinburgh	NBCO01000015:11,160..12,134(+)	hypothetical protein	protein coding	Tth.15.1060	
TM35_000151690	TM35_000151690-t36_1	T. theileri isolate Edinburgh	NBCO01000015:170,518..171,609(-)	hypothetical protein	protein coding	Tth.15.1690	
TM35_000151750	TM35_000151750-t36_1	T. theileri isolate Edinburgh	NBCO01000015:183,579..184,505(-)	hypothetical protein	protein coding	Tth.15.1750	
TM35_000151820	TM35_000151820-t36_1	T. theileri isolate Edinburgh	NBCO01000015:195,582..196,499(-)	hypothetical protein	protein coding	Tth.15.1820	
TM35_000151830	TM35_000151830-t36_1	T. theileri isolate Edinburgh	NBCO01000015:197,732..198,211(-)	hypothetical protein	protein coding	Tth.15.1830	
TM35_000431080	TM35_000431080-t36_1	T. theileri isolate Edinburgh	NBCO01000043:24,603..25,553(-)	hypothetical protein	protein coding	Tth.43.1080	
TM35_000431090	TM35_000431090-t36_1	T. theileri isolate Edinburgh	NBCO01000043:26,617..27,645(-)	hypothetical protein	protein coding	Tth.43.1090	
TM35_000451000	TM35_000451000-t36_1	T. theileri isolate Edinburgh	NBCO01000045:4,545..5,471(+)	hypothetical protein	protein coding	Tth.45.1000	
TM35_000451010	TM35_000451010-t36_1	T. theileri isolate Edinburgh	NBCO01000045:6,276..7,187(+)	hypothetical protein	protein coding	Tth.45.1010	
TM35_000451030	TM35_000451030-t36_1	T. theileri isolate Edinburgh	NBCO01000045:10,153..11,187(+)	hypothetical protein	protein coding	Tth.45.1030	
TM35_000451050	TM35_000451050-t36_1	T. theileri isolate Edinburgh	NBCO01000045:13,935..14,843(+)	hypothetical protein	protein coding	Tth.45.1050	
TM35_000451070	TM35_000451070-t36_1	T. theileri isolate Edinburgh	NBCO01000045:28,097..28,999(+)	hypothetical protein	protein coding	Tth.45.1070	
TM35_000451080	TM35_000451080-t36_1	T. theileri isolate Edinburgh	NBCO01000045:29,838..30,800(+)	hypothetical protein	protein coding	Tth.45.1080	
TM35_000451110	TM35_000451110-t36_1	T. theileri isolate Edinburgh	NBCO01000045:38,346..39,041(+)	hypothetical protein	protein coding	Tth.45.1110	
TM35_000451130	TM35_000451130-t36_1	T. theileri isolate Edinburgh	NBCO01000045:45,823..46,806(+)	hypothetical protein	protein coding	Tth.45.1130	
TM35_000451140	TM35_000451140-t36_1	T. theileri isolate Edinburgh	NBCO01000045:48,951..49,874(+)	hypothetical protein	protein coding	Tth.45.1140	
TM35_000451150	TM35_000451150-t36_1	T. theileri isolate Edinburgh	NBCO01000045:50,903..51,847(+)	hypothetical protein	protein coding	Tth.45.1150	
TM35_000451170	TM35_000451170-t36_1	T. theileri isolate Edinburgh	NBCO01000045:63,632..64,258(+)	hypothetical protein	protein coding	Tth.45.1170	
TM35_000451180	TM35_000451180-t36_1	T. theileri isolate Edinburgh	NBCO01000045:65,064..66,080(+)	hypothetical protein	protein coding	Tth.45.1180	
TM35_000451190	TM35_000451190-t36_1	T. theileri isolate Edinburgh	NBCO01000045:68,105..68,566(+)	hypothetical protein	protein coding	Tth.45.1190	
TM35_000451210	TM35_000451210-t36_1	T. theileri isolate Edinburgh	NBCO01000045:71,433..72,125(+)	hypothetical protein	protein coding	Tth.45.1210	
TM35_000451220	TM35_000451220-t36_1	T. theileri isolate Edinburgh	NBCO01000045:73,281..74,282(+)	hypothetical protein	protein coding	Tth.45.1220	
TM35_000451250	TM35_000451250-t36_1	T. theileri isolate Edinburgh	NBCO01000045:78,516..79,010(+)	hypothetical protein	protein coding	Tth.45.1250	
TM35_000451280	TM35_000451280-t36_1	T. theileri isolate Edinburgh	NBCO01000045:90,712..91,500(+)	hypothetical protein	protein coding	Tth.45.1280	
TM35_000451300	TM35_000451300-t36_1	T. theileri isolate Edinburgh	NBCO01000045:94,580..95,470(+)	hypothetical protein	protein coding	Tth.45.1300	
TM35_000451310	TM35_000451310-t36_1	T. theileri isolate Edinburgh	NBCO01000045:96,438..97,343(+)	hypothetical protein	protein coding	Tth.45.1310	
TM35_000451320	TM35_000451320-t36_1	T. theileri isolate Edinburgh	NBCO01000045:99,768..100,619(+)	hypothetical protein	protein coding	Tth.45.1320	
TM35_000451330	TM35_000451330-t36_1	T. theileri isolate Edinburgh	NBCO01000045:101,496..102,539(+)	hypothetical protein	protein coding	Tth.45.1330	
TM35_000451340	TM35_000451340-t36_1	T. theileri isolate Edinburgh	NBCO01000045:103,387..104,379(+)	hypothetical protein	protein coding	Tth.45.1340	
TM35_000451370	TM35_000451370-t36_1	T. theileri isolate Edinburgh	NBCO01000045:109,711..110,616(+)	hypothetical protein	protein coding	Tth.45.1370	
TM35_000451380	TM35_000451380-t36_1	T. theileri isolate Edinburgh	NBCO01000045:112,586..113,629(+)	hypothetical protein	protein coding	Tth.45.1380	
TM35_000451390	TM35_000451390-t36_1	T. theileri isolate Edinburgh	NBCO01000045:116,861..117,424(+)	hypothetical protein	protein coding	Tth.45.1390	
TM35_000451400	TM35_000451400-t36_1	T. theileri isolate Edinburgh	NBCO01000045:118,489..119,268(+)	hypothetical protein	protein coding	Tth.45.1400	
TM35_000451410	TM35_000451410-t36_1	T. theileri isolate Edinburgh	NBCO01000045:122,147..123,136(+)	hypothetical protein	protein coding	Tth.45.1410	
TM35_000451420	TM35_000451420-t36_1	T. theileri isolate Edinburgh	NBCO01000045:124,154..125,173(+)	hypothetical protein	protein coding	Tth.45.1420	
TM35_000451430	TM35_000451430-t36_1	T. theileri isolate Edinburgh	NBCO01000045:126,056..127,168(+)	hypothetical protein	protein coding	Tth.45.1430	
TM35_000451440	TM35_000451440-t36_1	T. theileri isolate Edinburgh	NBCO01000045:127,995..129,017(+)	hypothetical protein	protein coding	Tth.45.1440	
TM35_000451450	TM35_000451450-t36_1	T. theileri isolate Edinburgh	NBCO01000045:129,814..130,788(+)	hypothetical protein	protein coding	Tth.45.1450	
TM35_000451460	TM35_000451460-t36_1	T. theileri isolate Edinburgh	NBCO01000045:131,618..132,619(+)	hypothetical protein	protein coding	Tth.45.1460	
TM35_000451470	TM35_000451470-t36_1	T. theileri isolate Edinburgh	NBCO01000045:135,062..136,219(+)	hypothetical protein	protein coding	Tth.45.1470	
TM35_000451560	TM35_000451560-t36_1	T. theileri isolate Edinburgh	NBCO01000045:153,234..153,908(+)	hypothetical protein	protein coding	Tth.45.1560	
TM35_000451570	TM35_000451570-t36_1	T. theileri isolate Edinburgh	NBCO01000045:154,845..155,969(+)	hypothetical protein	protein coding	Tth.45.1570	
TM35_000451590	TM35_000451590-t36_1	T. theileri isolate Edinburgh	NBCO01000045:158,563..159,681(+)	hypothetical protein	protein coding	Tth.45.1590	
TM35_000451610	TM35_000451610-t36_1	T. theileri isolate Edinburgh	NBCO01000045:164,130..165,044(+)	hypothetical protein	protein coding	Tth.45.1610	
TM35_000451620	TM35_000451620-t36_1	T. theileri isolate Edinburgh	NBCO01000045:165,827..166,894(+)	hypothetical protein	protein coding	Tth.45.1620	
TM35_000451640	TM35_000451640-t36_1	T. theileri isolate Edinburgh	NBCO01000045:169,440..170,138(+)	hypothetical protein	protein coding	Tth.45.1640	
TM35_000451650	TM35_000451650-t36_1	T. theileri isolate Edinburgh	NBCO01000045:173,652..174,590(+)	hypothetical protein	protein coding	Tth.45.1650	
TM35_000451660	TM35_000451660-t36_1	T. theileri isolate Edinburgh	NBCO01000045:175,462..176,478(+)	hypothetical protein	protein coding	Tth.45.1660	
TM35_000451670	TM35_000451670-t36_1	T. theileri isolate Edinburgh	NBCO01000045:177,332..178,357(+)	hypothetical protein	protein coding	Tth.45.1670	
TM35_000451690	TM35_000451690-t36_1	T. theileri isolate Edinburgh	NBCO01000045:181,448..182,413(+)	hypothetical protein	protein coding	Tth.45.1690	
TM35_000451710	TM35_000451710-t36_1	T. theileri isolate Edinburgh	NBCO01000045:185,003..186,040(+)	hypothetical protein	protein coding	Tth.45.1710	
TM35_000451720	TM35_000451720-t36_1	T. theileri isolate Edinburgh	NBCO01000045:188,556..189,449(+)	hypothetical protein	protein coding	Tth.45.1720	
TM35_000451730	TM35_000451730-t36_1	T. theileri isolate Edinburgh	NBCO01000045:190,290..191,354(+)	hypothetical protein	protein coding	Tth.45.1730	
TM35_000451740	TM35_000451740-t36_1	T. theileri isolate Edinburgh	NBCO01000045:196,289..197,305(+)	hypothetical protein	protein coding	Tth.45.1740	
TM35_000451750	TM35_000451750-t36_1	T. theileri isolate Edinburgh	NBCO01000045:198,117..199,007(+)	hypothetical protein	protein coding	Tth.45.1750	
TM35_000451770	TM35_000451770-t36_1	T. theileri isolate Edinburgh	NBCO01000045:204,852..205,760(+)	hypothetical protein	protein coding	Tth.45.1770	
TM35_000451780	TM35_000451780-t36_1	T. theileri isolate Edinburgh	NBCO01000045:206,313..207,344(+)	hypothetical protein	protein coding	Tth.45.1780	
TM35_000451790	TM35_000451790-t36_1	T. theileri isolate Edinburgh	NBCO01000045:208,188..209,087(+)	hypothetical protein	protein coding	Tth.45.1790	
TM35_000451800	TM35_000451800-t36_1	T. theileri isolate Edinburgh	NBCO01000045:210,713..211,174(+)	hypothetical protein	protein coding	Tth.45.1800	
TM35_000471000	TM35_000471000-t36_1	T. theileri isolate Edinburgh	NBCO01000047:149..601(-)	hypothetical protein	protein coding	Tth.47.1000	
TM35_000471020	TM35_000471020-t36_1	T. theileri isolate Edinburgh	NBCO01000047:4,214..5,047(-)	hypothetical protein	protein coding	Tth.47.1020	
TM35_000471060	TM35_000471060-t36_1	T. theileri isolate Edinburgh	NBCO01000047:12,741..13,490(-)	hypothetical protein	protein coding	Tth.47.1060	
TM35_000471080	TM35_000471080-t36_1	T. theileri isolate Edinburgh	NBCO01000047:18,014..19,075(-)	hypothetical protein	protein coding	Tth.47.1080	
TM35_000471110	TM35_000471110-t36_1	T. theileri isolate Edinburgh	NBCO01000047:27,527..28,576(-)	hypothetical protein	protein coding	Tth.47.1110	
TM35_000471120	TM35_000471120-t36_1	T. theileri isolate Edinburgh	NBCO01000047:29,307..30,308(-)	hypothetical protein	protein coding	Tth.47.1120	
TM35_000471130	TM35_000471130-t36_1	T. theileri isolate Edinburgh	NBCO01000047:33,271..34,194(-)	hypothetical protein	protein coding	Tth.47.1130	
TM35_000471140	TM35_000471140-t36_1	T. theileri isolate Edinburgh	NBCO01000047:35,194..36,045(-)	hypothetical protein	protein coding	Tth.47.1140	
TM35_000471160	TM35_000471160-t36_1	T. theileri isolate Edinburgh	NBCO01000047:38,536..39,234(-)	hypothetical protein	protein coding	Tth.47.1160	
TM35_000471170	TM35_000471170-t36_1	T. theileri isolate Edinburgh	NBCO01000047:40,110..41,015(-)	hypothetical protein	protein coding	Tth.47.1170	
TM35_000471180	TM35_000471180-t36_1	T. theileri isolate Edinburgh	NBCO01000047:41,808..43,010(-)	titin isoform N2BA	protein coding	Tth.47.1180	
TM35_000471190	TM35_000471190-t36_1	T. theileri isolate Edinburgh	NBCO01000047:44,083..44,979(-)	hypothetical protein	protein coding	Tth.47.1190	
TM35_000471200	TM35_000471200-t36_1	T. theileri isolate Edinburgh	NBCO01000047:45,860..46,924(-)	hypothetical protein	protein coding	Tth.47.1200	
TM35_000471210	TM35_000471210-t36_1	T. theileri isolate Edinburgh	NBCO01000047:48,467..49,597(-)	hypothetical protein	protein coding	Tth.47.1210	
TM35_000471230	TM35_000471230-t36_1	T. theileri isolate Edinburgh	NBCO01000047:52,054..53,046(-)	hypothetical protein	protein coding	Tth.47.1230	
TM35_000471280	TM35_000471280-t36_1	T. theileri isolate Edinburgh	NBCO01000047:59,689..60,597(-)	hypothetical protein	protein coding	Tth.47.1280	
TM35_000471310	TM35_000471310-t36_1	T. theileri isolate Edinburgh	NBCO01000047:69,313..70,293(-)	hypothetical protein	protein coding	Tth.47.1310	
TM35_000471330	TM35_000471330-t36_1	T. theileri isolate Edinburgh	NBCO01000047:76,031..76,474(-)	hypothetical protein	protein coding	Tth.47.1330	
TM35_000471340	TM35_000471340-t36_1	T. theileri isolate Edinburgh	NBCO01000047:81,609..82,616(-)	hypothetical protein	protein coding	Tth.47.1340	
TM35_000471350	TM35_000471350-t36_1	T. theileri isolate Edinburgh	NBCO01000047:83,146..83,505(-)	hypothetical protein	protein coding	Tth.47.1350	
TM35_000471370	TM35_000471370-t36_1	T. theileri isolate Edinburgh	NBCO01000047:85,150..85,446(-)	hypothetical protein	protein coding	Tth.47.1370	
TM35_000471390	TM35_000471390-t36_1	T. theileri isolate Edinburgh	NBCO01000047:92,615..93,535(-)	hypothetical protein	protein coding	Tth.47.1390	
TM35_000471410	TM35_000471410-t36_1	T. theileri isolate Edinburgh	NBCO01000047:96,301..97,083(-)	hypothetical protein	protein coding	Tth.47.1410	
TM35_000471450	TM35_000471450-t36_1	T. theileri isolate Edinburgh	NBCO01000047:105,865..106,932(-)	hypothetical protein	protein coding	Tth.47.1450	
TM35_000471470	TM35_000471470-t36_1	T. theileri isolate Edinburgh	NBCO01000047:111,842..112,741(-)	hypothetical protein	protein coding	Tth.47.1470	
TM35_000471500	TM35_000471500-t36_1	T. theileri isolate Edinburgh	NBCO01000047:117,565..118,413(-)	hypothetical protein	protein coding	Tth.47.1500	
TM35_000471520	TM35_000471520-t36_1	T. theileri isolate Edinburgh	NBCO01000047:121,479..122,435(-)	hypothetical protein	protein coding	Tth.47.1520	
TM35_000471530	TM35_000471530-t36_1	T. theileri isolate Edinburgh	NBCO01000047:123,422..124,174(-)	hypothetical protein	protein coding	Tth.47.1530	
TM35_000471550	TM35_000471550-t36_1	T. theileri isolate Edinburgh	NBCO01000047:126,079..126,651(-)	hypothetical protein	protein coding	Tth.47.1550	
TM35_000471570	TM35_000471570-t36_1	T. theileri isolate Edinburgh	NBCO01000047:128,524..129,282(-)	hypothetical protein	protein coding	Tth.47.1570	
TM35_000471580	TM35_000471580-t36_1	T. theileri isolate Edinburgh	NBCO01000047:129,404..130,201(-)	hypothetical protein	protein coding	Tth.47.1580	
TM35_000471610	TM35_000471610-t36_1	T. theileri isolate Edinburgh	NBCO01000047:134,581..135,765(-)	hypothetical protein	protein coding	Tth.47.1610	
TM35_000471630	TM35_000471630-t36_1	T. theileri isolate Edinburgh	NBCO01000047:137,919..138,812(-)	hypothetical protein	protein coding	Tth.47.1630	
TM35_000471640	TM35_000471640-t36_1	T. theileri isolate Edinburgh	NBCO01000047:140,059..141,054(-)	hypothetical protein	protein coding	Tth.47.1640	
TM35_000471670	TM35_000471670-t36_1	T. theileri isolate Edinburgh	NBCO01000047:146,922..147,956(-)	hypothetical protein	protein coding	Tth.47.1670	
TM35_000471680	TM35_000471680-t36_1	T. theileri isolate Edinburgh	NBCO01000047:148,812..149,693(-)	hypothetical protein	protein coding	Tth.47.1680	
TM35_000471690	TM35_000471690-t36_1	T. theileri isolate Edinburgh	NBCO01000047:150,519..151,355(-)	hypothetical protein	protein coding	Tth.47.1690	
TM35_000471700	TM35_000471700-t36_1	T. theileri isolate Edinburgh	NBCO01000047:157,688..158,632(-)	hypothetical protein	protein coding	Tth.47.1700	
TM35_000471710	TM35_000471710-t36_1	T. theileri isolate Edinburgh	NBCO01000047:159,485..160,429(-)	hypothetical protein	protein coding	Tth.47.1710	
TM35_000471720	TM35_000471720-t36_1	T. theileri isolate Edinburgh	NBCO01000047:161,619..162,464(-)	hypothetical protein	protein coding	Tth.47.1720	
TM35_000471740	TM35_000471740-t36_1	T. theileri isolate Edinburgh	NBCO01000047:164,686..166,134(-)	hypothetical protein	protein coding	Tth.47.1740	
TM35_000501000	TM35_000501000-t36_1	T. theileri isolate Edinburgh	NBCO01000050:1,973..2,671(-)	hypothetical protein	protein coding	Tth.50.1000	
TM35_000501010	TM35_000501010-t36_1	T. theileri isolate Edinburgh	NBCO01000050:4,079..5,062(-)	hypothetical protein	protein coding	Tth.50.1010	
TM35_000501030	TM35_000501030-t36_1	T. theileri isolate Edinburgh	NBCO01000050:9,544..10,425(-)	hypothetical protein	protein coding	Tth.50.1030	
TM35_000501070	TM35_000501070-t36_1	T. theileri isolate Edinburgh	NBCO01000050:17,026..17,859(-)	hypothetical protein	protein coding	Tth.50.1070	
TM35_000501110	TM35_000501110-t36_1	T. theileri isolate Edinburgh	NBCO01000050:27,542..28,468(-)	hypothetical protein	protein coding	Tth.50.1110	
TM35_000501140	TM35_000501140-t36_1	T. theileri isolate Edinburgh	NBCO01000050:38,411..39,301(-)	hypothetical protein	protein coding	Tth.50.1140	
TM35_000501150	TM35_000501150-t36_1	T. theileri isolate Edinburgh	NBCO01000050:40,004..41,017(-)	hypothetical protein	protein coding	Tth.50.1150	
TM35_000501180	TM35_000501180-t36_1	T. theileri isolate Edinburgh	NBCO01000050:45,957..46,988(-)	hypothetical protein	protein coding	Tth.50.1180	
TM35_000501200	TM35_000501200-t36_1	T. theileri isolate Edinburgh	NBCO01000050:51,515..52,453(-)	hypothetical protein	protein coding	Tth.50.1200	
TM35_000501220	TM35_000501220-t36_1	T. theileri isolate Edinburgh	NBCO01000050:54,940..56,271(-)	hypothetical protein	protein coding	Tth.50.1220	
TM35_000501230	TM35_000501230-t36_1	T. theileri isolate Edinburgh	NBCO01000050:57,048..57,524(-)	hypothetical protein	protein coding	Tth.50.1230	
TM35_000501270	TM35_000501270-t36_1	T. theileri isolate Edinburgh	NBCO01000050:65,201..66,136(-)	hypothetical protein	protein coding	Tth.50.1270	
TM35_000501280	TM35_000501280-t36_1	T. theileri isolate Edinburgh	NBCO01000050:67,002..67,868(-)	hypothetical protein	protein coding	Tth.50.1280	
TM35_000501300	TM35_000501300-t36_1	T. theileri isolate Edinburgh	NBCO01000050:75,350..76,498(-)	hypothetical protein	protein coding	Tth.50.1300	
TM35_000501310	TM35_000501310-t36_1	T. theileri isolate Edinburgh	NBCO01000050:77,486..78,013(-)	hypothetical protein	protein coding	Tth.50.1310	
TM35_000501330	TM35_000501330-t36_1	T. theileri isolate Edinburgh	NBCO01000050:86,529..87,530(-)	hypothetical protein	protein coding	Tth.50.1330	
TM35_000501340	TM35_000501340-t36_1	T. theileri isolate Edinburgh	NBCO01000050:88,227..88,946(-)	hypothetical protein	protein coding	Tth.50.1340	
TM35_000501350	TM35_000501350-t36_1	T. theileri isolate Edinburgh	NBCO01000050:89,759..90,739(-)	hypothetical protein	protein coding	Tth.50.1350	
TM35_000501360	TM35_000501360-t36_1	T. theileri isolate Edinburgh	NBCO01000050:95,281..96,111(-)	hypothetical protein	protein coding	Tth.50.1360	
TM35_000501370	TM35_000501370-t36_1	T. theileri isolate Edinburgh	NBCO01000050:97,039..98,004(-)	hypothetical protein	protein coding	Tth.50.1370	
TM35_000501390	TM35_000501390-t36_1	T. theileri isolate Edinburgh	NBCO01000050:100,215..101,240(-)	hypothetical protein	protein coding	Tth.50.1390	
TM35_000501420	TM35_000501420-t36_1	T. theileri isolate Edinburgh	NBCO01000050:105,787..106,755(-)	hypothetical protein	protein coding	Tth.50.1420	
TM35_000501430	TM35_000501430-t36_1	T. theileri isolate Edinburgh	NBCO01000050:111,635..112,195(-)	hypothetical protein	protein coding	Tth.50.1430	
TM35_000501440	TM35_000501440-t36_1	T. theileri isolate Edinburgh	NBCO01000050:113,621..114,004(-)	hypothetical protein	protein coding	Tth.50.1440	
TM35_000501470	TM35_000501470-t36_1	T. theileri isolate Edinburgh	NBCO01000050:117,666..118,778(-)	hypothetical protein	protein coding	Tth.50.1470	
TM35_000511010	TM35_000511010-t36_1	T. theileri isolate Edinburgh	NBCO01000051:6,384..6,971(+)	hypothetical protein	protein coding	Tth.51.1010	
TM35_000511020	TM35_000511020-t36_1	T. theileri isolate Edinburgh	NBCO01000051:8,167..9,081(+)	hypothetical protein	protein coding	Tth.51.1020	
TM35_000511030	TM35_000511030-t36_1	T. theileri isolate Edinburgh	NBCO01000051:10,050..11,015(+)	hypothetical protein	protein coding	Tth.51.1030	
TM35_000511040	TM35_000511040-t36_1	T. theileri isolate Edinburgh	NBCO01000051:11,868..12,779(+)	hypothetical protein	protein coding	Tth.51.1040	
TM35_000511050	TM35_000511050-t36_1	T. theileri isolate Edinburgh	NBCO01000051:13,811..14,809(+)	hypothetical protein	protein coding	Tth.51.1050	
TM35_000511070	TM35_000511070-t36_1	T. theileri isolate Edinburgh	NBCO01000051:17,299..18,300(+)	hypothetical protein	protein coding	Tth.51.1070	
TM35_000511110	TM35_000511110-t36_1	T. theileri isolate Edinburgh	NBCO01000051:27,210..27,776(+)	hypothetical protein	protein coding	Tth.51.1110	
TM35_000511120	TM35_000511120-t36_1	T. theileri isolate Edinburgh	NBCO01000051:29,080..30,162(+)	hypothetical protein	protein coding	Tth.51.1120	
TM35_000511150	TM35_000511150-t36_1	T. theileri isolate Edinburgh	NBCO01000051:33,348..34,124(+)	hypothetical protein	protein coding	Tth.51.1150	
TM35_000511210	TM35_000511210-t36_1	T. theileri isolate Edinburgh	NBCO01000051:43,312..43,626(+)	hypothetical protein	protein coding	Tth.51.1210	
TM35_000511220	TM35_000511220-t36_1	T. theileri isolate Edinburgh	NBCO01000051:44,419..45,468(+)	hypothetical protein	protein coding	Tth.51.1220	
TM35_000511230	TM35_000511230-t36_1	T. theileri isolate Edinburgh	NBCO01000051:46,823..47,620(+)	hypothetical protein	protein coding	Tth.51.1230	
TM35_000511240	TM35_000511240-t36_1	T. theileri isolate Edinburgh	NBCO01000051:48,632..49,189(+)	hypothetical protein	protein coding	Tth.51.1240	
