Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
TM35_000151070	TM35_000151070-t36_1	T. theileri isolate Edinburgh	NBCO01000015:12,828..13,772(+)	hypothetical protein	protein coding	Tth.15.1070	
TM35_000151700	TM35_000151700-t36_1	T. theileri isolate Edinburgh	NBCO01000015:172,370..173,236(-)	hypothetical protein	protein coding	Tth.15.1700	
TM35_000151710	TM35_000151710-t36_1	T. theileri isolate Edinburgh	NBCO01000015:173,818..174,837(-)	hypothetical protein	protein coding	Tth.15.1710	
TM35_000151740	TM35_000151740-t36_1	T. theileri isolate Edinburgh	NBCO01000015:181,980..182,903(-)	hypothetical protein	protein coding	Tth.15.1740	
TM35_000151760	TM35_000151760-t36_1	T. theileri isolate Edinburgh	NBCO01000015:185,658..186,524(-)	hypothetical protein	protein coding	Tth.15.1760	
TM35_000151790	TM35_000151790-t36_1	T. theileri isolate Edinburgh	NBCO01000015:190,312..191,172(-)	hypothetical protein	protein coding	Tth.15.1790	
TM35_000151810	TM35_000151810-t36_1	T. theileri isolate Edinburgh	NBCO01000015:193,516..194,886(-)	hypothetical protein	protein coding	Tth.15.1810	
TM35_000151840	TM35_000151840-t36_1	T. theileri isolate Edinburgh	NBCO01000015:198,779..199,573(-)	hypothetical protein	protein coding	Tth.15.1840	
TM35_000161510	TM35_000161510-t36_1	T. theileri isolate Edinburgh	NBCO01000016:140,073..140,600(+)	hypothetical protein	protein coding	Tth.16.1510	
TM35_000431020	TM35_000431020-t36_1	T. theileri isolate Edinburgh	NBCO01000043:12,291..13,187(-)	hypothetical protein	protein coding	Tth.43.1020	
TM35_000431040	TM35_000431040-t36_1	T. theileri isolate Edinburgh	NBCO01000043:17,775..18,533(-)	hypothetical protein	protein coding	Tth.43.1040	
TM35_000431070	TM35_000431070-t36_1	T. theileri isolate Edinburgh	NBCO01000043:23,057..23,923(-)	hypothetical protein	protein coding	Tth.43.1070	
TM35_000451020	TM35_000451020-t36_1	T. theileri isolate Edinburgh	NBCO01000045:7,807..9,174(+)	hypothetical protein	protein coding	Tth.45.1020	
TM35_000451040	TM35_000451040-t36_1	T. theileri isolate Edinburgh	NBCO01000045:11,807..12,775(+)	hypothetical protein	protein coding	Tth.45.1040	
TM35_000451100	TM35_000451100-t36_1	T. theileri isolate Edinburgh	NBCO01000045:33,726..34,766(+)	hypothetical protein	protein coding	Tth.45.1100	
TM35_000451120	TM35_000451120-t36_1	T. theileri isolate Edinburgh	NBCO01000045:43,702..44,505(+)	hypothetical protein	protein coding	Tth.45.1120	
TM35_000451160	TM35_000451160-t36_1	T. theileri isolate Edinburgh	NBCO01000045:61,849..63,060(+)	hypothetical protein	protein coding	Tth.45.1160	
TM35_000451200	TM35_000451200-t36_1	T. theileri isolate Edinburgh	NBCO01000045:69,776..70,864(+)	hypothetical protein	protein coding	Tth.45.1200	
TM35_000451230	TM35_000451230-t36_1	T. theileri isolate Edinburgh	NBCO01000045:74,965..75,846(+)	hypothetical protein	protein coding	Tth.45.1230	
TM35_000451240	TM35_000451240-t36_1	T. theileri isolate Edinburgh	NBCO01000045:77,003..77,968(+)	hypothetical protein	protein coding	Tth.45.1240	
TM35_000451260	TM35_000451260-t36_1	T. theileri isolate Edinburgh	NBCO01000045:83,342..84,187(+)	hypothetical protein	protein coding	Tth.45.1260	
TM35_000451270	TM35_000451270-t36_1	T. theileri isolate Edinburgh	NBCO01000045:88,721..89,548(+)	hypothetical protein	protein coding	Tth.45.1270	
TM35_000451290	TM35_000451290-t36_1	T. theileri isolate Edinburgh	NBCO01000045:92,177..93,430(+)	hypothetical protein	protein coding	Tth.45.1290	
TM35_000451350	TM35_000451350-t36_1	T. theileri isolate Edinburgh	NBCO01000045:105,275..106,174(+)	hypothetical protein	protein coding	Tth.45.1350	
TM35_000451360	TM35_000451360-t36_1	T. theileri isolate Edinburgh	NBCO01000045:107,339..108,553(+)	hypothetical protein	protein coding	Tth.45.1360	
TM35_000451510	TM35_000451510-t36_1	T. theileri isolate Edinburgh	NBCO01000045:144,749..145,537(+)	hypothetical protein	protein coding	Tth.45.1510	
TM35_000451540	TM35_000451540-t36_1	T. theileri isolate Edinburgh	NBCO01000045:150,466..151,743(+)	hypothetical protein	protein coding	Tth.45.1540	
TM35_000451580	TM35_000451580-t36_1	T. theileri isolate Edinburgh	NBCO01000045:156,750..157,976(+)	hypothetical protein	protein coding	Tth.45.1580	
TM35_000451600	TM35_000451600-t36_1	T. theileri isolate Edinburgh	NBCO01000045:162,996..163,355(+)	hypothetical protein	protein coding	Tth.45.1600	
TM35_000451630	TM35_000451630-t36_1	T. theileri isolate Edinburgh	NBCO01000045:167,652..168,884(+)	hypothetical protein	protein coding	Tth.45.1630	
TM35_000451680	TM35_000451680-t36_1	T. theileri isolate Edinburgh	NBCO01000045:179,052..180,314(+)	hypothetical protein	protein coding	Tth.45.1680	
TM35_000451700	TM35_000451700-t36_1	T. theileri isolate Edinburgh	NBCO01000045:183,458..184,444(+)	hypothetical protein	protein coding	Tth.45.1700	
TM35_000451760	TM35_000451760-t36_1	T. theileri isolate Edinburgh	NBCO01000045:203,477..204,262(+)	hypothetical protein	protein coding	Tth.45.1760	
TM35_000451810	TM35_000451810-t36_1	T. theileri isolate Edinburgh	NBCO01000045:213,368..214,372(+)	hypothetical protein	protein coding	Tth.45.1810	
TM35_000471030	TM35_000471030-t36_1	T. theileri isolate Edinburgh	NBCO01000047:5,823..6,749(-)	hypothetical protein	protein coding	Tth.47.1030	
TM35_000471040	TM35_000471040-t36_1	T. theileri isolate Edinburgh	NBCO01000047:7,294..8,214(-)	hypothetical protein	protein coding	Tth.47.1040	
TM35_000471050	TM35_000471050-t36_1	T. theileri isolate Edinburgh	NBCO01000047:9,086..9,988(-)	hypothetical protein	protein coding	Tth.47.1050	
TM35_000471070	TM35_000471070-t36_1	T. theileri isolate Edinburgh	NBCO01000047:16,103..17,110(-)	hypothetical protein	protein coding	Tth.47.1070	
TM35_000471090	TM35_000471090-t36_1	T. theileri isolate Edinburgh	NBCO01000047:19,645..21,024(-)	hypothetical protein	protein coding	Tth.47.1090	
TM35_000471150	TM35_000471150-t36_1	T. theileri isolate Edinburgh	NBCO01000047:36,822..37,835(-)	hypothetical protein	protein coding	Tth.47.1150	
TM35_000471220	TM35_000471220-t36_1	T. theileri isolate Edinburgh	NBCO01000047:50,172..51,416(-)	hypothetical protein	protein coding	Tth.47.1220	
TM35_000471240	TM35_000471240-t36_1	T. theileri isolate Edinburgh	NBCO01000047:53,609..54,595(-)	hypothetical protein	protein coding	Tth.47.1240	
TM35_000471270	TM35_000471270-t36_1	T. theileri isolate Edinburgh	NBCO01000047:58,154..58,999(-)	hypothetical protein	protein coding	Tth.47.1270	
TM35_000471300	TM35_000471300-t36_1	T. theileri isolate Edinburgh	NBCO01000047:68,675..69,100(-)	hypothetical protein	protein coding	Tth.47.1300	
TM35_000471380	TM35_000471380-t36_1	T. theileri isolate Edinburgh	NBCO01000047:90,871..91,239(-)	hypothetical protein	protein coding	Tth.47.1380	
TM35_000471400	TM35_000471400-t36_1	T. theileri isolate Edinburgh	NBCO01000047:94,703..95,470(-)	hypothetical protein	protein coding	Tth.47.1400	
TM35_000471460	TM35_000471460-t36_1	T. theileri isolate Edinburgh	NBCO01000047:107,658..108,698(-)	hypothetical protein	protein coding	Tth.47.1460	
TM35_000471480	TM35_000471480-t36_1	T. theileri isolate Edinburgh	NBCO01000047:113,673..114,617(-)	hypothetical protein	protein coding	Tth.47.1480	
TM35_000471490	TM35_000471490-t36_1	T. theileri isolate Edinburgh	NBCO01000047:115,994..116,773(-)	hypothetical protein	protein coding	Tth.47.1490	
TM35_000471510	TM35_000471510-t36_1	T. theileri isolate Edinburgh	NBCO01000047:119,356..120,225(-)	hypothetical protein	protein coding	Tth.47.1510	
TM35_000471590	TM35_000471590-t36_1	T. theileri isolate Edinburgh	NBCO01000047:130,736..131,611(-)	hypothetical protein	protein coding	Tth.47.1590	
TM35_000471600	TM35_000471600-t36_1	T. theileri isolate Edinburgh	NBCO01000047:131,697..132,287(-)	hypothetical protein	protein coding	Tth.47.1600	
TM35_000471620	TM35_000471620-t36_1	T. theileri isolate Edinburgh	NBCO01000047:136,317..137,255(-)	hypothetical protein	protein coding	Tth.47.1620	
TM35_000471650	TM35_000471650-t36_1	T. theileri isolate Edinburgh	NBCO01000047:141,677..142,621(-)	hypothetical protein	protein coding	Tth.47.1650	
TM35_000471660	TM35_000471660-t36_1	T. theileri isolate Edinburgh	NBCO01000047:144,896..146,218(-)	hypothetical protein	protein coding	Tth.47.1660	
TM35_000471730	TM35_000471730-t36_1	T. theileri isolate Edinburgh	NBCO01000047:163,150..164,079(-)	hypothetical protein	protein coding	Tth.47.1730	
TM35_000471750	TM35_000471750-t36_1	T. theileri isolate Edinburgh	NBCO01000047:167,176..167,760(-)	hypothetical protein	protein coding	Tth.47.1750	
TM35_000501020	TM35_000501020-t36_1	T. theileri isolate Edinburgh	NBCO01000050:6,737..7,111(-)	hypothetical protein	protein coding	Tth.50.1020	
TM35_000501080	TM35_000501080-t36_1	T. theileri isolate Edinburgh	NBCO01000050:21,693..22,001(-)	hypothetical protein	protein coding	Tth.50.1080	
TM35_000501130	TM35_000501130-t36_1	T. theileri isolate Edinburgh	NBCO01000050:36,883..37,701(-)	hypothetical protein	protein coding	Tth.50.1130	
TM35_000501190	TM35_000501190-t36_1	T. theileri isolate Edinburgh	NBCO01000050:47,561..48,484(-)	hypothetical protein	protein coding	Tth.50.1190	
TM35_000501260	TM35_000501260-t36_1	T. theileri isolate Edinburgh	NBCO01000050:63,579..64,502(-)	hypothetical protein	protein coding	Tth.50.1260	
TM35_000501290	TM35_000501290-t36_1	T. theileri isolate Edinburgh	NBCO01000050:73,832..74,653(-)	hypothetical protein	protein coding	Tth.50.1290	
TM35_000501380	TM35_000501380-t36_1	T. theileri isolate Edinburgh	NBCO01000050:98,596..99,165(-)	hypothetical protein	protein coding	Tth.50.1380	
TM35_000501410	TM35_000501410-t36_1	T. theileri isolate Edinburgh	NBCO01000050:103,957..104,904(-)	hypothetical protein	protein coding	Tth.50.1410	
TM35_000501450	TM35_000501450-t36_1	T. theileri isolate Edinburgh	NBCO01000050:114,547..115,179(-)	hypothetical protein	protein coding	Tth.50.1450	
TM35_000511000	TM35_000511000-t36_1	T. theileri isolate Edinburgh	NBCO01000051:2,627..3,520(+)	hypothetical protein	protein coding	Tth.51.1000	
TM35_000511080	TM35_000511080-t36_1	T. theileri isolate Edinburgh	NBCO01000051:19,145..20,308(+)	hypothetical protein	protein coding	Tth.51.1080	
TM35_000511090	TM35_000511090-t36_1	T. theileri isolate Edinburgh	NBCO01000051:20,911..21,822(+)	hypothetical protein	protein coding	Tth.51.1090	
TM35_000511100	TM35_000511100-t36_1	T. theileri isolate Edinburgh	NBCO01000051:25,642..26,622(+)	hypothetical protein	protein coding	Tth.51.1100	
TM35_000511180	TM35_000511180-t36_1	T. theileri isolate Edinburgh	NBCO01000051:40,470..40,838(+)	hypothetical protein	protein coding	Tth.51.1180	
TM35_000511190	TM35_000511190-t36_1	T. theileri isolate Edinburgh	NBCO01000051:40,946..41,566(+)	hypothetical protein	protein coding	Tth.51.1190	
TM35_000511270	TM35_000511270-t36_1	T. theileri isolate Edinburgh	NBCO01000051:58,461..59,273(+)	hypothetical protein	protein coding	Tth.51.1270	
TM35_000511300	TM35_000511300-t36_1	T. theileri isolate Edinburgh	NBCO01000051:63,932..64,837(+)	hypothetical protein	protein coding	Tth.51.1300	
TM35_000511320	TM35_000511320-t36_1	T. theileri isolate Edinburgh	NBCO01000051:67,853..68,515(+)	hypothetical protein	protein coding	Tth.51.1320	
TM35_000511380	TM35_000511380-t36_1	T. theileri isolate Edinburgh	NBCO01000051:89,494..90,414(+)	hypothetical protein	protein coding	Tth.51.1380	
TM35_000511390	TM35_000511390-t36_1	T. theileri isolate Edinburgh	NBCO01000051:92,106..92,429(+)	hypothetical protein	protein coding	Tth.51.1390	
TM35_000511430	TM35_000511430-t36_1	T. theileri isolate Edinburgh	NBCO01000051:98,713..99,573(+)	hypothetical protein	protein coding	Tth.51.1430	
TM35_000521050	TM35_000521050-t36_1	T. theileri isolate Edinburgh	NBCO01000052:9,199..10,125(+)	hypothetical protein	protein coding	Tth.52.1050	
TM35_000521070	TM35_000521070-t36_1	T. theileri isolate Edinburgh	NBCO01000052:12,341..13,312(+)	hypothetical protein	protein coding	Tth.52.1070	
TM35_000521100	TM35_000521100-t36_1	T. theileri isolate Edinburgh	NBCO01000052:17,992..18,768(+)	hypothetical protein	protein coding	Tth.52.1100	
TM35_000521120	TM35_000521120-t36_1	T. theileri isolate Edinburgh	NBCO01000052:22,273..22,566(+)	hypothetical protein	protein coding	Tth.52.1120	
TM35_000521160	TM35_000521160-t36_1	T. theileri isolate Edinburgh	NBCO01000052:30,123..31,040(+)	hypothetical protein	protein coding	Tth.52.1160	
TM35_000521180	TM35_000521180-t36_1	T. theileri isolate Edinburgh	NBCO01000052:33,283..34,389(+)	hypothetical protein	protein coding	Tth.52.1180	
TM35_000521210	TM35_000521210-t36_1	T. theileri isolate Edinburgh	NBCO01000052:41,658..42,434(+)	hypothetical protein	protein coding	Tth.52.1210	
TM35_000521250	TM35_000521250-t36_1	T. theileri isolate Edinburgh	NBCO01000052:46,506..46,946(+)	hypothetical protein	protein coding	Tth.52.1250	
TM35_000521260	TM35_000521260-t36_1	T. theileri isolate Edinburgh	NBCO01000052:47,535..48,425(+)	hypothetical protein	protein coding	Tth.52.1260	
TM35_000521270	TM35_000521270-t36_1	T. theileri isolate Edinburgh	NBCO01000052:49,403..49,918(+)	hypothetical protein	protein coding	Tth.52.1270	
TM35_000521280	TM35_000521280-t36_1	T. theileri isolate Edinburgh	NBCO01000052:51,462..52,178(+)	hypothetical protein	protein coding	Tth.52.1280	
TM35_000521290	TM35_000521290-t36_1	T. theileri isolate Edinburgh	NBCO01000052:54,599..55,150(+)	hypothetical protein	protein coding	Tth.52.1290	
TM35_000521310	TM35_000521310-t36_1	T. theileri isolate Edinburgh	NBCO01000052:62,334..62,873(+)	hypothetical protein	protein coding	Tth.52.1310	
TM35_000521330	TM35_000521330-t36_1	T. theileri isolate Edinburgh	NBCO01000052:67,326..68,363(+)	hypothetical protein	protein coding	Tth.52.1330	
TM35_000521340	TM35_000521340-t36_1	T. theileri isolate Edinburgh	NBCO01000052:68,808..69,413(+)	hypothetical protein	protein coding	Tth.52.1340	
TM35_000521350	TM35_000521350-t36_1	T. theileri isolate Edinburgh	NBCO01000052:70,132..70,743(+)	hypothetical protein	protein coding	Tth.52.1350	
TM35_000521360	TM35_000521360-t36_1	T. theileri isolate Edinburgh	NBCO01000052:71,337..71,921(+)	hypothetical protein	protein coding	Tth.52.1360	
TM35_000521370	TM35_000521370-t36_1	T. theileri isolate Edinburgh	NBCO01000052:72,699..73,346(+)	hypothetical protein	protein coding	Tth.52.1370	
TM35_000531030	TM35_000531030-t36_1	T. theileri isolate Edinburgh	NBCO01000053:9,022..10,188(+)	hypothetical protein	protein coding	Tth.53.1030	
TM35_000531040	TM35_000531040-t36_1	T. theileri isolate Edinburgh	NBCO01000053:10,458..10,739(+)	hypothetical protein	protein coding	Tth.53.1040	
TM35_000531050	TM35_000531050-t36_1	T. theileri isolate Edinburgh	NBCO01000053:11,867..12,811(+)	hypothetical protein	protein coding	Tth.53.1050	
TM35_000531070	TM35_000531070-t36_1	T. theileri isolate Edinburgh	NBCO01000053:15,117..16,490(+)	hypothetical protein	protein coding	Tth.53.1070	
TM35_000531110	TM35_000531110-t36_1	T. theileri isolate Edinburgh	NBCO01000053:23,927..24,850(+)	hypothetical protein	protein coding	Tth.53.1110	
TM35_000531130	TM35_000531130-t36_1	T. theileri isolate Edinburgh	NBCO01000053:30,859..31,728(+)	hypothetical protein	protein coding	Tth.53.1130	
TM35_000531180	TM35_000531180-t36_1	T. theileri isolate Edinburgh	NBCO01000053:41,995..42,792(+)	hypothetical protein	protein coding	Tth.53.1180	
TM35_000531200	TM35_000531200-t36_1	T. theileri isolate Edinburgh	NBCO01000053:45,520..46,806(+)	hypothetical protein	protein coding	Tth.53.1200	
TM35_000531260	TM35_000531260-t36_1	T. theileri isolate Edinburgh	NBCO01000053:56,464..57,270(+)	hypothetical protein	protein coding	Tth.53.1260	
TM35_000531280	TM35_000531280-t36_1	T. theileri isolate Edinburgh	NBCO01000053:60,348..61,049(+)	hypothetical protein	protein coding	Tth.53.1280	
TM35_000531330	TM35_000531330-t36_1	T. theileri isolate Edinburgh	NBCO01000053:68,088..68,414(+)	hypothetical protein	protein coding	Tth.53.1330	
TM35_000531340	TM35_000531340-t36_1	T. theileri isolate Edinburgh	NBCO01000053:69,464..70,291(+)	hypothetical protein	protein coding	Tth.53.1340	
TM35_000531380	TM35_000531380-t36_1	T. theileri isolate Edinburgh	NBCO01000053:78,581..79,492(+)	hypothetical protein	protein coding	Tth.53.1380	
TM35_000551020	TM35_000551020-t36_1	T. theileri isolate Edinburgh	NBCO01000055:4,485..5,129(+)	hypothetical protein	protein coding	Tth.55.1020	
TM35_000551050	TM35_000551050-t36_1	T. theileri isolate Edinburgh	NBCO01000055:12,298..13,236(+)	hypothetical protein	protein coding	Tth.55.1050	
TM35_000551080	TM35_000551080-t36_1	T. theileri isolate Edinburgh	NBCO01000055:19,235..20,266(+)	hypothetical protein	protein coding	Tth.55.1080	
TM35_000551130	TM35_000551130-t36_1	T. theileri isolate Edinburgh	NBCO01000055:26,103..27,197(+)	hypothetical protein	protein coding	Tth.55.1130	
TM35_000551170	TM35_000551170-t36_1	T. theileri isolate Edinburgh	NBCO01000055:33,862..34,512(+)	hypothetical protein	protein coding	Tth.55.1170	
TM35_000551190	TM35_000551190-t36_1	T. theileri isolate Edinburgh	NBCO01000055:37,051..38,115(+)	hypothetical protein	protein coding	Tth.55.1190	
TM35_000551280	TM35_000551280-t36_1	T. theileri isolate Edinburgh	NBCO01000055:53,108..54,031(+)	hypothetical protein	protein coding	Tth.55.1280	
TM35_000551320	TM35_000551320-t36_1	T. theileri isolate Edinburgh	NBCO01000055:59,546..60,403(+)	hypothetical protein	protein coding	Tth.55.1320	
TM35_000551370	TM35_000551370-t36_1	T. theileri isolate Edinburgh	NBCO01000055:71,583..72,497(+)	hypothetical protein	protein coding	Tth.55.1370	
TM35_000551400	TM35_000551400-t36_1	T. theileri isolate Edinburgh	NBCO01000055:76,814..77,947(+)	hypothetical protein	protein coding	Tth.55.1400	
TM35_000551430	TM35_000551430-t36_1	T. theileri isolate Edinburgh	NBCO01000055:82,423..83,568(+)	hypothetical protein	protein coding	Tth.55.1430	
TM35_000561040	TM35_000561040-t36_1	T. theileri isolate Edinburgh	NBCO01000056:13,455..14,312(-)	hypothetical protein	protein coding	Tth.56.1040	
TM35_000561140	TM35_000561140-t36_1	T. theileri isolate Edinburgh	NBCO01000056:43,009..43,404(-)	hypothetical protein	protein coding	Tth.56.1140	
TM35_000561180	TM35_000561180-t36_1	T. theileri isolate Edinburgh	NBCO01000056:52,517..53,650(-)	hypothetical protein	protein coding	Tth.56.1180	
TM35_000561200	TM35_000561200-t36_1	T. theileri isolate Edinburgh	NBCO01000056:57,352..58,254(-)	hypothetical protein	protein coding	Tth.56.1200	
TM35_000561250	TM35_000561250-t36_1	T. theileri isolate Edinburgh	NBCO01000056:71,822..72,697(-)	hypothetical protein	protein coding	Tth.56.1250	
TM35_000571010	TM35_000571010-t36_1	T. theileri isolate Edinburgh	NBCO01000057:6,118..7,257(-)	hypothetical protein	protein coding	Tth.57.1010	
TM35_000571050	TM35_000571050-t36_1	T. theileri isolate Edinburgh	NBCO01000057:12,459..13,571(-)	hypothetical protein	protein coding	Tth.57.1050	
TM35_000571060	TM35_000571060-t36_1	T. theileri isolate Edinburgh	NBCO01000057:14,167..15,234(-)	hypothetical protein	protein coding	Tth.57.1060	
TM35_000571090	TM35_000571090-t36_1	T. theileri isolate Edinburgh	NBCO01000057:19,630..20,511(-)	hypothetical protein	protein coding	Tth.57.1090	
TM35_000571110	TM35_000571110-t36_1	T. theileri isolate Edinburgh	NBCO01000057:26,046..26,468(-)	hypothetical protein	protein coding	Tth.57.1110	
TM35_000571140	TM35_000571140-t36_1	T. theileri isolate Edinburgh	NBCO01000057:30,324..31,571(-)	hypothetical protein	protein coding	Tth.57.1140	
TM35_000571240	TM35_000571240-t36_1	T. theileri isolate Edinburgh	NBCO01000057:62,361..63,461(-)	hypothetical protein	protein coding	Tth.57.1240	
TM35_000571250	TM35_000571250-t36_1	T. theileri isolate Edinburgh	NBCO01000057:64,054..64,968(-)	hypothetical protein	protein coding	Tth.57.1250	
TM35_000581020	TM35_000581020-t36_1	T. theileri isolate Edinburgh	NBCO01000058:4,849..5,919(-)	hypothetical protein	protein coding	Tth.58.1020	
TM35_000581100	TM35_000581100-t36_1	T. theileri isolate Edinburgh	NBCO01000058:23,515..24,717(-)	hypothetical protein	protein coding	Tth.58.1100	
TM35_000581190	TM35_000581190-t36_1	T. theileri isolate Edinburgh	NBCO01000058:42,194..43,192(-)	hypothetical protein	protein coding	Tth.58.1190	
TM35_000581210	TM35_000581210-t36_1	T. theileri isolate Edinburgh	NBCO01000058:46,493..47,713(-)	hypothetical protein	protein coding	Tth.58.1210	
TM35_000581230	TM35_000581230-t36_1	T. theileri isolate Edinburgh	NBCO01000058:50,621..51,709(-)	hypothetical protein	protein coding	Tth.58.1230	
TM35_000581260	TM35_000581260-t36_1	T. theileri isolate Edinburgh	NBCO01000058:57,436..58,680(-)	hypothetical protein	protein coding	Tth.58.1260	
TM35_000581300	TM35_000581300-t36_1	T. theileri isolate Edinburgh	NBCO01000058:67,607..68,692(-)	hypothetical protein	protein coding	Tth.58.1300	
TM35_000601030	TM35_000601030-t36_1	T. theileri isolate Edinburgh	NBCO01000060:3,750..4,448(-)	hypothetical protein	protein coding	Tth.60.1030	
TM35_000601050	TM35_000601050-t36_1	T. theileri isolate Edinburgh	NBCO01000060:6,322..6,996(-)	hypothetical protein	protein coding	Tth.60.1050	
TM35_000601070	TM35_000601070-t36_1	T. theileri isolate Edinburgh	NBCO01000060:11,269..11,970(-)	hypothetical protein	protein coding	Tth.60.1070	
TM35_000601110	TM35_000601110-t36_1	T. theileri isolate Edinburgh	NBCO01000060:18,008..18,997(-)	hypothetical protein	protein coding	Tth.60.1110	
TM35_000601160	TM35_000601160-t36_1	T. theileri isolate Edinburgh	NBCO01000060:32,490..33,545(-)	hypothetical protein	protein coding	Tth.60.1160	
TM35_000601200	TM35_000601200-t36_1	T. theileri isolate Edinburgh	NBCO01000060:39,797..41,131(-)	hypothetical protein	protein coding	Tth.60.1200	
TM35_000601220	TM35_000601220-t36_1	T. theileri isolate Edinburgh	NBCO01000060:44,154..44,471(-)	hypothetical protein	protein coding	Tth.60.1220	
TM35_000601300	TM35_000601300-t36_1	T. theileri isolate Edinburgh	NBCO01000060:56,457..57,239(-)	hypothetical protein	protein coding	Tth.60.1300	
TM35_000601330	TM35_000601330-t36_1	T. theileri isolate Edinburgh	NBCO01000060:61,614..62,732(-)	hypothetical protein	protein coding	Tth.60.1330	
