[Gene ID],[Product Description],[CDS Length],[# TM Domains],sig_a,sig_b,sig_c,P_freq,S_freq,T_freq,ST_freq,gpi_site,gpi_pred,Peptide counts (unique),Score,Intensity,MS/MS count,prot_len
TM35_000031540,hypothetical protein,795,0,4.0,0.93,1.0,0.0946969696969697,0.12878787878787878,0.13257575757575757,0.26136363636363635,239,99.9,4,46.995,23765000.0,14.0,265.0
TM35_000031550,hypothetical protein,1002,0,4.0,0.83,1.0,0.06606606606606606,0.12612612612612611,0.1021021021021021,0.22822822822822822,308,100.0,7,83.306,17802000.0,22.0,334.0
TM35_000031560,hypothetical protein,939,1,4.0,0.8,0.99,0.09294871794871795,0.11858974358974358,0.09615384615384616,0.21474358974358976,287,100.0,,,,,313.0
TM35_000031570,hypothetical protein,894,1,3.0,0.68,0.98,0.08754208754208755,0.1111111111111111,0.1447811447811448,0.2558922558922559,272,100.0,1,6.297000000000001,340970.0,1.0,298.0
TM35_000031580,hypothetical protein,672,0,4.0,0.88,1.0,0.06726457399103139,0.09417040358744394,0.13901345291479822,0.23318385650224216,198,100.0,1,6.6393,6851800.0,4.0,224.0
TM35_000031590,hypothetical protein,807,1,4.0,0.72,0.99,0.0708955223880597,0.10074626865671642,0.11567164179104478,0.2164179104477612,243,100.0,2,11.94,4406300.0,4.0,269.0
TM35_000031600,hypothetical protein,1104,0,0.0,0.0,0.0,0.08991825613079019,0.10899182561307902,0.11444141689373297,0.22343324250681199,342,99.7,,,,,368.0
TM35_000031610,hypothetical protein,1038,1,4.0,0.89,1.0,0.07246376811594203,0.1072463768115942,0.11884057971014493,0.22608695652173913,320,100.0,5,33.066,4481400.0,8.0,346.0
TM35_000031620,hypothetical protein,801,1,3.0,0.67,0.97,0.10150375939849623,0.09774436090225563,0.11278195488721804,0.21052631578947367,241,100.0,2,16.747,10569000.0,7.0,267.0
TM35_000031630,hypothetical protein,906,1,4.0,0.92,1.0,0.07641196013289037,0.12624584717607973,0.132890365448505,0.25913621262458475,276,100.0,1,9.8082,14464000.0,14.0,302.0
TM35_000031640,hypothetical protein,786,1,3.0,0.7,1.0,0.08812260536398467,0.13026819923371646,0.10727969348659004,0.23754789272030652,236,100.0,2,23.915,7693000.0,2.0,262.0
TM35_000031650,hypothetical protein,903,0,4.0,0.92,0.99,0.07666666666666666,0.11333333333333333,0.16,0.2733333333333333,275,100.0,6,61.387,65001000.0,24.0,301.0
TM35_000031660,hypothetical protein,975,0,4.0,0.82,0.99,0.09259259259259259,0.11419753086419752,0.15432098765432098,0.2685185185185185,299,100.0,2,28.098000000000003,2546300.0,8.0,325.0
TM35_000031670,hypothetical protein,951,0,0.0,0.0,0.0,0.0949367088607595,0.1360759493670886,0.11075949367088607,0.24683544303797467,291,99.7,4;1,65.098,9961000.0,16.0,317.0
TM35_000031680,hypothetical protein,951,0,4.0,0.82,1.0,0.12658227848101267,0.14556962025316456,0.11075949367088607,0.2563291139240506,291,100.0,3,37.773,6339000.0,9.0,317.0
TM35_000031700,hypothetical protein,903,0,4.0,0.86,1.0,0.08,0.14333333333333334,0.14,0.2833333333333333,275,100.0,7;3,104.41,36509000.0,32.0,301.0
TM35_000031710,hypothetical protein,960,1,4.0,0.92,1.0,0.06896551724137931,0.12852664576802508,0.06583072100313479,0.1943573667711599,294,100.0,3,25.445999999999998,6502500.0,9.0,320.0
TM35_000031720,hypothetical protein,744,1,4.0,0.73,1.0,0.0931174089068826,0.10121457489878542,0.10526315789473684,0.20647773279352227,224,99.9,4,45.773,30272000.0,12.0,248.0
TM35_000031730,hypothetical protein,933,1,4.0,0.93,1.0,0.06774193548387097,0.12903225806451613,0.10967741935483871,0.23870967741935484,285,100.0,4,108.3,17363000.0,16.0,311.0
TM35_000031740,hypothetical protein,1281,1,4.0,0.74,1.0,0.051643192488262914,0.09389671361502347,0.11971830985915492,0.21361502347417838,401,100.0,,,,,427.0
TM35_000031750,hypothetical protein,984,1,4.0,0.91,1.0,0.0672782874617737,0.12538226299694188,0.08256880733944955,0.20795107033639143,302,100.0,2,38.673,18646000.0,16.0,328.0
TM35_000031760,hypothetical protein,552,1,3.0,0.7,0.99,0.0273224043715847,0.09836065573770492,0.09836065573770492,0.19672131147540983,163,74.8,,,,,184.0
TM35_000031770,hypothetical protein,978,0,4.0,0.85,1.0,0.09846153846153846,0.12615384615384614,0.11692307692307692,0.24307692307692308,300,100.0,8,69.781,54869000.0,24.0,326.0
TM35_000031780,hypothetical protein,882,0,0.0,0.0,0.0,0.08532423208191127,0.12627986348122866,0.11945392491467577,0.24573378839590443,268,99.9,5,47.575,5142000.0,13.0,294.0
TM35_000033710,mucin-associated surface protein (MASP),1518,0,0.0,0.0,0.0,0.05742574257425743,0.06336633663366337,0.10297029702970296,0.16633663366336632,485,19.3,,,,,506.0
TM35_000041030,hypothetical protein,1482,1,4.0,0.88,0.95,0.012170385395537525,0.034482758620689655,0.056795131845841784,0.09127789046653144,468,100.0,,,,,494.0
TM35_000041050,hypothetical protein,1269,1,4.0,0.92,0.99,0.014218009478672985,0.04028436018957346,0.04028436018957346,0.08056872037914692,395,99.9,,,,,423.0
TM35_000041070,hypothetical protein,1395,1,4.0,0.77,0.95,0.015086206896551725,0.0625,0.04310344827586207,0.10560344827586207,439,100.0,,,,,465.0
TM35_000041100,hypothetical protein,1509,0,4.0,0.83,1.0,0.01593625498007968,0.02390438247011952,0.05776892430278884,0.08167330677290836,476,100.0,,,,,503.0
TM35_000041180,hypothetical protein,1461,0,4.0,0.88,0.99,0.01646090534979424,0.02880658436213992,0.06172839506172839,0.09053497942386832,460,100.0,1,6.1992,5199600.0,1.0,487.0
TM35_000041210,hypothetical protein,1323,0,0.0,0.0,0.0,0.015909090909090907,0.06136363636363636,0.07727272727272727,0.13863636363636364,415,89.1,,,,,441.0
TM35_000041260,hypothetical protein,1338,1,4.0,0.87,0.97,0.01348314606741573,0.04269662921348315,0.05393258426966292,0.09662921348314607,417,99.9,,,,,446.0
TM35_000041280,hypothetical protein,1530,0,4.0,0.8,0.98,0.015717092337917484,0.023575638506876228,0.04911591355599214,0.07269155206286837,483,100.0,2,15.717,3972800.0,4.0,510.0
TM35_000041290,hypothetical protein,1410,0,4.0,0.78,0.97,0.021321961620469083,0.03624733475479744,0.06183368869936034,0.09808102345415778,441,100.0,1,8.1441,0.0,1.0,470.0
TM35_000041310,hypothetical protein,1530,1,4.0,0.85,0.93,0.01768172888015717,0.03143418467583497,0.0550098231827112,0.08644400785854617,478,99.9,,,,,510.0
TM35_000041330,hypothetical protein,1371,0,4.0,0.87,0.81,0.03070175438596491,0.04824561403508772,0.04824561403508772,0.09649122807017543,430,100.0,1,6.495,580530.0,1.0,457.0
TM35_000041340,hypothetical protein,1311,0,4.0,0.86,0.97,0.011467889908256881,0.04128440366972477,0.0389908256880734,0.08027522935779817,409,99.9,,,,,437.0
TM35_000044240,hypothetical protein,1338,0,4.0,0.82,0.98,0.020224719101123594,0.035955056179775284,0.051685393258426963,0.08764044943820225,419,100.0,7,44.452,6760800.0,9.0,446.0
TM35_000051030,hypothetical protein,1347,0,4.0,0.89,0.98,0.013392857142857142,0.03571428571428571,0.05580357142857143,0.09151785714285715,422,99.9,,,,,449.0
TM35_000053730,transglutaminase,1287,0,4.0,0.86,0.98,0.007009345794392523,0.03271028037383177,0.056074766355140186,0.08878504672897196,403,100.0,,,,,429.0
TM35_000053950,putative mucin-associated surface protein (MASP),783,0,0.0,0.0,0.0,0.07692307692307693,0.09230769230769231,0.046153846153846156,0.13846153846153847,240,30.2,4,59.938,4624200.0,6.0,261.0
TM35_000054690,hypothetical protein,1290,1,4.0,0.93,1.0,0.027972027972027972,0.03263403263403263,0.039627039627039624,0.07226107226107226,404,100.0,,,,,430.0
TM35_000054810,hypothetical protein,1230,0,4.0,0.84,0.98,0.017114914425427872,0.06356968215158924,0.0488997555012225,0.11246943765281174,384,100.0,5,57.586999999999996,2273500.0,6.0,410.0
TM35_000061000,hypothetical protein,462,0,4.0,0.63,1.0,0.012987012987012988,0.09740259740259741,0.05844155844155844,0.15584415584415584,128,99.5,3,19.801,6233100.0,7.0,154.0
TM35_000061010,hypothetical protein,1164,1,4.0,0.86,0.94,0.028423772609819122,0.09302325581395349,0.09302325581395349,0.18604651162790697,362,100.0,2,12.072000000000001,991320.0,2.0,388.0
TM35_000061020,hypothetical protein,744,0,4.0,0.91,0.98,0.03643724696356275,0.1417004048582996,0.0728744939271255,0.2145748987854251,222,100.0,6,69.005,12008000.0,21.0,248.0
TM35_000061030,hypothetical protein,828,0,4.0,0.86,0.97,0.021739130434782608,0.05434782608695652,0.04710144927536232,0.10144927536231885,256,45.2,,,,,276.0
TM35_000061040,hypothetical protein,1317,0,0.0,0.0,0.0,0.018223234624145785,0.06150341685649203,0.06605922551252848,0.1275626423690205,419,24.4,1,5.6379,774140.0,1.0,439.0
TM35_000061050,hypothetical protein,1437,1,4.0,0.91,0.99,0.027196652719665274,0.09832635983263599,0.07322175732217573,0.17154811715481172,453,100.0,,,,,479.0
TM35_000061060,hypothetical protein,1431,0,4.0,0.87,0.95,0.012605042016806723,0.09663865546218488,0.10294117647058823,0.19957983193277312,451,100.0,,,,,477.0
TM35_000061070,hypothetical protein,1509,0,0.0,0.0,0.0,0.03187250996015936,0.055776892430278883,0.06374501992031872,0.11952191235059761,477,99.6,,,,,503.0
TM35_000062570,hypothetical protein,1374,1,4.0,0.9,0.93,0.024070021881838075,0.024070021881838075,0.037199124726477024,0.0612691466083151,432,100.0,,,,,458.0
TM35_000062660,hypothetical protein,1377,0,4.0,0.88,0.99,0.017467248908296942,0.048034934497816595,0.04585152838427948,0.09388646288209607,433,100.0,,,,,459.0
TM35_000062800,hypothetical protein,1317,1,4.0,0.84,0.85,0.0091324200913242,0.03424657534246575,0.0365296803652968,0.07077625570776255,412,99.9,,,,,439.0
TM35_000062880,hypothetical protein,1338,0,4.0,0.86,1.0,0.02696629213483146,0.04269662921348315,0.04943820224719101,0.09213483146067417,420,100.0,,,,,446.0
TM35_000062950,hypothetical protein,1365,1,4.0,0.89,0.98,0.013215859030837005,0.028634361233480177,0.05947136563876652,0.08810572687224669,428,100.0,,,,,455.0
TM35_000063060,hypothetical protein,1419,0,4.0,0.88,0.99,0.012711864406779662,0.02754237288135593,0.048728813559322036,0.07627118644067797,447,100.0,,,,,473.0
TM35_000081440,hypothetical protein,813,1,4.0,0.95,1.0,0.025925925925925925,0.05925925925925926,0.040740740740740744,0.1,242,100.0,6;0,93.682,23337000.0,18.0,271.0
TM35_000081450,hypothetical protein,639,1,4.0,0.94,1.0,0.018779342723004695,0.046948356807511735,0.056338028169014086,0.10328638497652581,188,57.2,2,11.77,755000.0,3.0,213.0
TM35_000081460,hypothetical protein,582,0,4.0,0.95,1.0,0.015544041450777202,0.05181347150259067,0.07253886010362694,0.12435233160621761,168,97.4,5,43.403,30453000.0,19.0,194.0
TM35_000081470,hypothetical protein,744,1,4.0,0.95,1.0,0.02834008097165992,0.05263157894736842,0.06072874493927125,0.11336032388663966,216,100.0,5,36.445,4942000.0,10.0,248.0
TM35_000081480,hypothetical protein,1245,0,4.0,0.85,0.98,0.012077294685990338,0.09903381642512077,0.10869565217391304,0.2077294685990338,389,64.0,,,,,415.0
TM35_000081490,hypothetical protein,780,1,4.0,0.95,1.0,0.011538461538461539,0.057692307692307696,0.07307692307692308,0.13076923076923078,238,60.6,1,5.667999999999999,427620.0,1.0,260.0
TM35_000081500,hypothetical protein,612,1,4.0,0.96,1.0,0.014705882352941176,0.03431372549019608,0.07352941176470588,0.10784313725490197,184,53.7,1,7.2252,431960.0,2.0,204.0
TM35_000081510,hypothetical protein,1374,0,4.0,0.82,0.99,0.024070021881838075,0.0962800875273523,0.11597374179431072,0.21225382932166303,430,100.0,6;1,65.244,18214000.0,16.0,458.0
TM35_000081520,hypothetical protein,1362,1,4.0,0.91,0.99,0.02869757174392936,0.04856512141280353,0.0684326710816777,0.11699779249448124,430,99.2,3,19.319000000000003,2898600.0,4.0,454.0
TM35_000082200,hypothetical protein,1425,0,4.0,0.94,0.99,0.02109704641350211,0.06329113924050633,0.04219409282700422,0.10548523206751055,449,100.0,2,13.908,5237200.0,2.0,475.0
TM35_000082210,hypothetical protein,1275,0,4.0,0.9,1.0,0.02358490566037736,0.04716981132075472,0.06132075471698113,0.10849056603773585,396,100.0,5,57.483999999999995,20225000.0,11.0,425.0
TM35_000084300,hypothetical protein,474,1,0.0,0.0,0.0,0.06369426751592357,0.12738853503184713,0.1592356687898089,0.28662420382165604,132,99.9,,,,,158.0
TM35_000084330,hypothetical protein,834,1,3.0,0.67,1.0,0.09386281588447654,0.11552346570397112,0.10469314079422383,0.22021660649819497,252,100.0,4,28.254,36962000.0,12.0,278.0
TM35_000084340,hypothetical protein,1029,0,4.0,0.71,0.99,0.07309941520467836,0.11403508771929824,0.10526315789473684,0.21929824561403508,317,100.0,,,,,343.0
TM35_000084350,hypothetical protein,1008,1,4.0,0.73,1.0,0.041791044776119404,0.08955223880597014,0.13432835820895522,0.22388059701492535,310,100.0,4;1,26.361,4015700.0,4.0,336.0
TM35_000084370,hypothetical protein,945,1,4.0,0.73,0.49,0.08917197452229299,0.12101910828025478,0.13694267515923567,0.25796178343949044,289,99.9,5,47.483000000000004,16501000.0,18.0,315.0
TM35_000084380,hypothetical protein,741,1,4.0,0.89,1.0,0.08536585365853659,0.12601626016260162,0.13414634146341464,0.26016260162601623,221,100.0,,,,,247.0
TM35_000084390,hypothetical protein,1137,0,0.0,0.0,0.0,0.06084656084656084,0.12433862433862433,0.12169312169312169,0.24603174603174602,353,99.8,4,53.645,12034000.0,9.0,379.0
TM35_000084410,hypothetical protein,969,1,0.0,0.0,0.0,0.07453416149068323,0.12111801242236025,0.13664596273291926,0.2577639751552795,297,99.4,4,64.76100000000001,9469000.0,13.0,323.0
TM35_000084430,hypothetical protein,966,1,4.0,0.88,1.0,0.06542056074766354,0.11214953271028037,0.12461059190031153,0.2367601246105919,296,100.0,2;1,16.635,2707300.0,6.0,322.0
TM35_000084440,hypothetical protein,1086,1,4.0,0.95,1.0,0.03314917127071823,0.04696132596685083,0.07734806629834254,0.12430939226519336,342,42.5,4,31.980999999999998,5678700.0,11.0,362.0
TM35_000084450,hypothetical protein,873,1,4.0,0.93,1.0,0.08275862068965517,0.11724137931034483,0.13793103448275862,0.25517241379310346,265,100.0,7;1,149.64,69272000.0,37.0,291.0
TM35_000093040,hypothetical protein,1332,0,4.0,0.88,1.0,0.013544018058690745,0.05417607223476298,0.045146726862302484,0.09932279909706546,417,100.0,8,105.51,148380000.0,27.0,444.0
TM35_000102620,hypothetical protein,1575,0,3.0,0.61,0.58,0.01717557251908397,0.04198473282442748,0.05916030534351145,0.10114503816793893,497,100.0,,,,,525.0
TM35_000102660,hypothetical protein,816,0,4.0,0.9,0.98,0.014760147601476014,0.04797047970479705,0.03690036900369004,0.08487084870848709,251,50.7,,,,,272.0
TM35_000102910,titin,987,1,4.0,0.92,1.0,0.09451219512195122,0.11280487804878049,0.125,0.23780487804878048,299,100.0,4,35.506,10302000.0,10.0,329.0
TM35_000102920,hypothetical protein,1098,0,4.0,0.9,0.98,0.12054794520547946,0.07123287671232877,0.10136986301369863,0.1726027397260274,342,100.0,,,,,366.0
TM35_000102930,hypothetical protein,1044,1,4.0,0.88,1.0,0.05763688760806916,0.12968299711815562,0.10951008645533142,0.23919308357348704,322,100.0,5,47.381,6916700.0,10.0,348.0
TM35_000102940,hypothetical protein,924,0,4.0,0.8,0.99,0.06188925081433225,0.10097719869706841,0.13680781758957655,0.23778501628664495,282,100.0,,,,,308.0
TM35_000102950,hypothetical protein,984,0,4.0,0.82,1.0,0.10091743119266056,0.13149847094801223,0.1162079510703364,0.24770642201834864,302,100.0,2,13.415,1879900.0,4.0,328.0
TM35_000102970,hypothetical protein,1038,1,4.0,0.81,0.99,0.06666666666666667,0.11304347826086956,0.13623188405797101,0.24927536231884057,320,100.0,5,42.621,5087600.0,7.0,346.0
TM35_000103000,hypothetical protein,858,1,2.0,0.63,1.0,0.07368421052631578,0.12982456140350876,0.11228070175438597,0.2421052631578947,260,100.0,,,,,286.0
TM35_000103030,hypothetical protein,393,1,4.0,0.72,1.0,0.030534351145038167,0.07633587786259542,0.08396946564885496,0.16030534351145037,111,96.4,2,14.499,6968300.0,7.0,131.0
TM35_000103040,putative titin,1044,1,4.0,0.56,0.91,0.11527377521613832,0.11527377521613832,0.10662824207492795,0.2219020172910663,322,99.9,4,30.018,3299500.0,11.0,348.0
TM35_000103050,hypothetical protein,840,0,4.0,0.86,1.0,0.075,0.15357142857142858,0.13214285714285715,0.2857142857142857,257,100.0,,,,,280.0
TM35_000103060,hypothetical protein,681,0,0.0,0.0,0.0,0.09691629955947137,0.19823788546255505,0.14977973568281938,0.34801762114537443,207,57.2,,,,,227.0
TM35_000103070,hypothetical protein,885,0,0.0,0.0,0.0,0.08163265306122448,0.17006802721088435,0.1054421768707483,0.2755102040816326,269,99.6,,,,,295.0
TM35_000103080,hypothetical protein,1194,1,4.0,0.9,1.0,0.10327455919395466,0.11335012594458438,0.0906801007556675,0.2040302267002519,372,100.0,2,16.813,1357700.0,2.0,398.0
TM35_000103090,hypothetical protein,1128,0,4.0,0.81,1.0,0.09333333333333334,0.13066666666666665,0.128,0.25866666666666666,350,99.9,5;1,74.454,27165000.0,24.0,376.0
TM35_000103100,hypothetical protein,915,1,4.0,0.93,1.0,0.05921052631578947,0.09868421052631579,0.13815789473684212,0.2368421052631579,279,100.0,5,80.551,20016000.0,17.0,305.0
TM35_000103110,hypothetical protein,819,0,1.0,0.4,0.99,0.08823529411764706,0.15441176470588236,0.13602941176470587,0.2904411764705882,247,99.9,1,16.112000000000002,3156400.0,3.0,273.0
TM35_000103120,hypothetical protein,642,1,4.0,0.74,0.99,0.03271028037383177,0.21495327102803738,0.028037383177570093,0.24299065420560748,194,84.6,,,,,214.0
TM35_000103140,hypothetical protein,324,1,0.0,0.0,0.0,0.06542056074766354,0.14953271028037382,0.16822429906542055,0.3177570093457944,82,99.6,,,,,108.0
TM35_000103150,hypothetical protein,867,0,4.0,0.62,1.0,0.0625,0.14583333333333334,0.12152777777777778,0.2673611111111111,263,100.0,3,71.998,5535800.0,9.0,289.0
TM35_000103160,hypothetical protein,1128,0,4.0,0.75,1.0,0.050666666666666665,0.10933333333333334,0.112,0.22133333333333333,350,100.0,3,17.898,6404700.0,3.0,376.0
TM35_000103170,hypothetical protein,810,0,4.0,0.74,1.0,0.11851851851851852,0.12962962962962962,0.14074074074074075,0.27037037037037037,250,37.3,,,,,270.0
TM35_000111570,putative mucin-like glycoprotein,978,0,0.0,0.0,0.0,0.04,0.06153846153846154,0.06461538461538462,0.12615384615384617,305,64.0,,,,,326.0
TM35_000112080,hypothetical protein,609,1,4.0,0.78,0.99,0.1188118811881188,0.04950495049504951,0.07425742574257425,0.12376237623762376,178,0.0,,,,,203.0
TM35_000112090,hypothetical protein,540,1,4.0,0.78,1.0,0.10555555555555556,0.044444444444444446,0.1,0.14444444444444446,160,100.0,,,,,180.0
TM35_000112980,hypothetical protein,600,1,4.0,0.81,1.0,0.1306532663316583,0.05025125628140704,0.06532663316582915,0.11557788944723618,175,0.0,,,,,200.0
TM35_000112990,hypothetical protein,774,1,4.0,0.93,1.0,0.0933852140077821,0.11284046692607004,0.13229571984435798,0.24513618677042803,232,100.0,,,,,258.0
TM35_000113000,hypothetical protein,888,1,4.0,0.72,0.97,0.1152542372881356,0.1423728813559322,0.08813559322033898,0.2305084745762712,272,99.9,,,,,296.0
TM35_000113010,hypothetical protein,1020,1,4.0,0.8,1.0,0.08259587020648967,0.0943952802359882,0.09734513274336283,0.19174041297935102,316,100.0,,,,,340.0
TM35_000113020,hypothetical protein,1116,0,4.0,0.93,1.0,0.09433962264150944,0.1320754716981132,0.11859838274932614,0.25067385444743934,348,100.0,2,17.554000000000002,3140700.0,2.0,372.0
TM35_000113030,hypothetical protein,924,1,4.0,0.9,1.0,0.11074918566775244,0.14006514657980457,0.11400651465798045,0.254071661237785,282,100.0,5,61.078,40452000.0,24.0,308.0
TM35_000113050,hypothetical protein,774,1,4.0,0.93,1.0,0.0933852140077821,0.11284046692607004,0.13229571984435798,0.24513618677042803,232,100.0,4;4,54.746,8932500.0,13.0,258.0
TM35_000113060,hypothetical protein,1419,0,0.0,0.0,0.0,0.0635593220338983,0.10805084745762712,0.11016949152542373,0.21822033898305085,447,99.9,1,6.3103,0.0,1.0,473.0
TM35_000122710,hypothetical protein,1230,0,4.0,0.9,0.99,0.02689486552567237,0.097799511002445,0.09046454767726161,0.1882640586797066,381,100.0,5,40.693000000000005,5692900.0,8.0,410.0
TM35_000122720,hypothetical protein,1044,0,4.0,0.87,0.99,0.023054755043227664,0.06628242074927954,0.069164265129683,0.13544668587896252,322,64.0,,,,,348.0
TM35_000122730,hypothetical protein,1227,0,4.0,0.86,0.99,0.014705882352941176,0.10294117647058823,0.0857843137254902,0.18872549019607843,380,100.0,1,7.5933,402960.0,1.0,409.0
TM35_000122740,hypothetical protein,1131,0,4.0,0.88,1.0,0.018617021276595744,0.047872340425531915,0.08776595744680851,0.13563829787234044,356,6.3,,,,,377.0
TM35_000122750,hypothetical protein,1188,0,4.0,0.84,0.91,0.030379746835443037,0.08860759493670886,0.07088607594936709,0.15949367088607597,367,100.0,2;1,20.519000000000002,2894300.0,4.0,396.0
TM35_000122760,hypothetical protein,1161,0,4.0,0.88,1.0,0.025906735751295335,0.10621761658031088,0.06735751295336788,0.17357512953367876,364,100.0,,,,,387.0
TM35_000122770,hypothetical protein,1059,0,4.0,0.88,0.99,0.0226628895184136,0.0906515580736544,0.0708215297450425,0.1614730878186969,328,16.0,,,,,353.0
TM35_000122790,hypothetical protein,1104,0,0.0,0.0,0.0,0.043596730245231606,0.08446866485013624,0.07629427792915532,0.16076294277929154,339,99.2,,,,,368.0
TM35_000122800,hypothetical protein,420,0,4.0,0.91,0.99,0.007142857142857143,0.07857142857142857,0.05,0.12857142857142856,115,92.6,,,,,140.0
TM35_000122820,hypothetical protein,1203,0,4.0,0.91,0.99,0.04,0.09,0.0675,0.1575,372,100.0,,,,,401.0
TM35_000122830,hypothetical protein,1152,1,4.0,0.86,0.96,0.0234375,0.109375,0.06770833333333333,0.17708333333333331,362,99.9,6;1,73.664,14453000.0,8.0,384.0
TM35_000122850,hypothetical protein,789,0,0.0,0.0,0.0,0.026615969581749048,0.04182509505703422,0.09885931558935361,0.14068441064638781,243,37.3,,,,,263.0
TM35_000122860,hypothetical protein,912,0,4.0,0.91,0.99,0.0231023102310231,0.09900990099009901,0.052805280528052806,0.15181518151815182,274,100.0,3,48.298,5211900.0,3.0,304.0
TM35_000122870,hypothetical protein,483,1,4.0,0.87,0.97,0.00625,0.04375,0.06875,0.1125,137,57.2,1,5.8305,418210.0,1.0,161.0
TM35_000122880,hypothetical protein,864,0,0.0,0.0,0.0,0.041811846689895474,0.11149825783972125,0.05574912891986063,0.1672473867595819,259,99.8,,,,,288.0
TM35_000122890,hypothetical protein,954,0,4.0,0.89,0.99,0.01892744479495268,0.07886435331230283,0.06309148264984227,0.14195583596214512,292,100.0,4,39.5,5709200.0,5.0,318.0
TM35_000123240,hypothetical protein,1260,0,4.0,0.8,0.96,0.01909307875894988,0.11933174224343675,0.07398568019093078,0.19331742243436753,391,100.0,,,,,420.0
TM35_000123250,hypothetical protein,327,2,4.0,0.66,0.04,0.045871559633027525,0.027522935779816515,0.08256880733944955,0.11009174311926606,84,97.4,,,,,109.0
TM35_000123260,hypothetical protein,687,0,4.0,0.92,1.0,0.013100436681222707,0.08296943231441048,0.05240174672489083,0.1353711790393013,209,81.8,,,,,229.0
TM35_000123270,hypothetical protein,318,0,4.0,0.64,0.83,0.02830188679245283,0.05660377358490566,0.0660377358490566,0.12264150943396226,81,96.4,,,,,106.0
TM35_000123280,hypothetical protein,735,0,4.0,0.89,1.0,0.004081632653061225,0.08571428571428572,0.036734693877551024,0.12244897959183673,223,37.3,,,,,245.0
TM35_000123290,hypothetical protein,1296,0,4.0,0.78,0.91,0.027842227378190254,0.0765661252900232,0.09048723897911833,0.16705336426914152,402,100.0,2,12.470999999999998,1306900.0,2.0,432.0
TM35_000123300,hypothetical protein,1170,0,4.0,0.92,1.0,0.04627249357326478,0.07712082262210797,0.07969151670951156,0.15681233933161953,361,100.0,,,,,390.0
